City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Cold Event,Probability of Heat Event in 2040
Abilene,TX,1600000US4801000,0.273499078,0.476101592,0.070896565,0.588600341,0.636397156,0.314171634,0.120898975,0.22060892,0.601007007,0,0.046448
Akron,OH,1600000US3901000,0.377615706,0.451853818,0.303377594,0.736973573,0.833265936,0.507761981,0.514565021,0.514348213,0.494372709,0,0.019126
Albuquerque,NM,1600000US3502000,0.359672009,0.448611424,0.270732593,0.489957604,0.592734756,0.631971634,0.317515164,0.795842931,0.782556807,0,0.062842
Alexandria,VA,1600000US5101000,0.655764042,0.363280488,0.948247596,0.272740691,0.546179714,0.523200248,0.362578497,0.609320849,0.597701399,0,0.010929
Allentown,PA,1600000US4202000,0.719052785,0.699600526,0.738505043,0.877971197,0.478770144,0.393284809,0.425955125,0.245750635,0.508148668,0,0.0054645
Amarillo,TX,1600000US4803000,0.31750997,0.480037926,0.154982015,0.515479544,0.555403691,0.364131608,0.1332197,0.323916935,0.635258189,0,0.062842
Anaheim,CA,1600000US0602000,0.679912388,0.607710399,0.752114378,0.522898901,0.307478104,0.238532903,0.290318082,0.366885437,0.05839519,0,0.032787
Anchorage,AK,1600000US0203000,0.195268154,0.390536308,0,0.312535913,0.531463297,0.365687718,0.066165944,0.763855378,0.267041833,0,
Ann Arbor,MI,1600000US2603000,0.309316949,0.201036688,0.41759721,0.336419385,0.934346009,0.846281523,0.889023387,0.82855367,0.821267512,0,0.0054645
Antioch,CA,1600000US0602252,0.389827944,0.407901464,0.371754425,0.461484466,0.645681538,0.453829954,0.390132813,0.680222435,0.291134615,0,0.04918
Arlington,TX,1600000US4804000,0.427597474,0.473944685,0.381250263,0.360806344,0.412916974,0.417087415,0.177955031,0.472811186,0.600496029,0,0.027322
Arvada,CO,1600000US0803455,0.323374884,0.350319853,0.296429914,0.330968116,0.630328409,0.577774278,0.693215072,0.750923368,0.289184393,0,0.051913
Atlanta,GA,1600000US1304000,0.35417124,0.386000059,0.322342422,0.429427779,0.657427661,0.551071731,0.240164098,0.809638532,0.603412564,0,0.0027322
Aurora (CO),CO,1600000US0804000,0.325626222,0.464061726,0.187190719,0.457401881,0.529278429,0.557648476,0.416584263,0.695948302,0.560412861,0,0.051913
Aurora (IL),IL,1600000US1703012,0.449875915,0.436874811,0.46287702,0.412699556,0.538949935,0.333381273,0.307348364,0.387187194,0.305608261,0,0.013661
Austin,TX,1600000US4805000,0.323526778,0.385982257,0.261071298,0.254705131,0.482740616,0.686704603,0.484006447,0.773961391,0.80214597,0,0.043716
Bakersfield,CA,1600000US0603526,0.339318709,0.456844275,0.221793143,0.487943139,0.57425459,0.394198631,0.24077255,0.533542093,0.40828125,0,0.046448
Baltimore,MD,1600000US2404000,0.63571092,0.438386662,0.833035178,0.722738822,0.845965498,0.498351686,0.165456718,0.716780381,0.612817959,0,0.0054645
Baton Rouge,LA,1600000US2205000,0.369708458,0.479374786,0.260042129,0.656441145,0.697691573,0.364241068,0.227587719,0.659260163,0.205875323,0,0.0054645
Bayamon,PR,1600000US7206593,0.58938749,0.530582843,0.648192137,0.579277683,0.518111997,0.429483628,0.335648513,0.318900746,0.633901626,0,
Beaumont,TX,1600000US4807000,0.320935416,0.54703196,0.094838873,0.691870922,0.597807003,0.450047748,0.223412138,0.582689989,0.544041116,0,0.0081967
Bellevue,WA,1600000US5305210,0.308512112,0.256977708,0.360046516,0.18889408,0.674938664,0.745513261,0.772656072,0.87214815,0.591735559,0,0.027322
Berkeley,CA,1600000US0606000,0.673839902,0.368317262,0.979362542,0.411053155,0.67441863,0.798836738,0.880018377,0.856989113,0.659502723,0,0.019126
Billings,MT,1600000US3006550,0.310603214,0.407971054,0.213235375,0.503615824,0.687673716,0.545349372,0.395532432,0.622329737,0.618185946,0,0.068306
Birmingham,AL,1600000US0107000,0.294155732,0.486250512,0.102060952,0.766907381,0.794406357,0.521546958,0.521627022,0.583001743,0.460012108,0,0.0054645
Boise City,ID,1600000US1608830,0.27706334,0.315745614,0.238381066,0.350058226,0.718566998,0.608537142,0.766494748,0.691956962,0.367159716,0,0.019126
Boston,MA,1600000US2507000,0.640133843,0.284280272,0.995987415,0.504814008,0.936253465,0.690168244,0.41229717,0.807304436,0.850903126,0,0.0054645
Bridgeport,CT,1600000US0908000,0.765461709,0.610889935,0.920033482,0.790994386,0.569214516,0.39784825,0.403533895,0.506605527,0.283405329,0,0.0054645
Brownsville,TX,1600000US4810768,0.346879606,0.61341808,0.080341132,0.59955395,0.372717789,0.332297984,0.049999934,0.490213016,0.456681003,0,0.04918
Buffalo,NY,1600000US3611000,0.576059109,0.448017774,0.704100443,0.772680908,0.87664536,0.404346839,0.232178708,0.532530987,0.448330821,0,0
Burbank,CA,1600000US0608954,0.539623262,0.410025404,0.66922112,0.421843913,0.601793106,0.21853906,0.101872943,0.478638837,0.0751054,0,0.043716
Burlington,VT,1600000US5010675,0.26331566,0.28043572,0.246195601,0.540813271,0.979941832,0.661313341,0.94909862,0.757202458,0.277638945,0,0
Cambridge,MA,1600000US2511000,0.641657319,0.283873867,0.99944077,0.287303393,0.71955566,0.783737413,0.853471935,0.671305127,0.826435179,0,0.0054645
Cape Coral,FL,1600000US1210275,0.281797791,0.463604647,0.099990934,0.352968816,0.425759522,0.387964362,0.338554998,0.56835618,0.256981908,0,0
Carlsbad,CA,1600000US0611194,0.25623406,0.247660558,0.264807563,0.189178835,0.69385772,0.635383643,0.770786586,0.7716327,0.363731643,0,0.030055
Carolina,PR,1600000US7214290,0.55948963,0.503304435,0.615674825,0.554378298,0.547769427,0.432361557,0.302364877,0.379221184,0.615498609,0,
Carrollton,TX,1600000US4813024,0.34769644,0.363785976,0.331606904,0.147009557,0.419437606,0.541749472,0.548834314,0.484518628,0.591895475,0,0.032787
Cedar Rapids,IA,1600000US1912000,0.212976907,0.287030086,0.138923727,0.460448688,0.886388516,0.544497556,0.412750112,0.696003562,0.524738994,0,0.0027322
Centennial,CO,1600000US0812815,0.30812734,0.244851815,0.371402865,0.140824214,0.651120584,0.587376686,0.598580621,0.830216104,0.333333333,0,0.035519
Chandler,AZ,1600000US0412000,0.330894396,0.270698975,0.391089817,0.16053471,0.619136759,0.63267146,0.457044344,0.698956097,0.74201394,0,0.038251
Charleston (SC),SC,1600000US4513330,0.14821523,0.223874547,0.072555913,0.336751887,0.889002793,0.504766871,0.324998655,0.759622891,0.429679067,0,0.010929
Charleston (WV),WV,1600000US5414600,0.21615133,0.317271979,0.115030682,0.548795331,0.914251373,0.444131606,0.359115575,0.668594078,0.304685165,0,0.0027322
Charlotte,NC,1600000US3712000,0.314170076,0.393285254,0.235054899,0.312199415,0.525628908,0.551761846,0.42803133,0.784285085,0.442969123,0,0.0054645
Chattanooga,TN,1600000US4714000,0.247884637,0.413635979,0.082133295,0.612170579,0.784898621,0.369471856,0.103003286,0.623045916,0.382366366,1,0.010929
Chesapeake,VA,1600000US5116000,0.173330466,0.310327041,0.036333891,0.260355296,0.639701214,0.535989126,0.364387687,0.658524233,0.585055458,0,0
Cheyenne,WY,1600000US5613900,0.294115109,0.366380368,0.221849849,0.429775368,0.697014631,0.463950905,0.459156011,0.696976568,0.235720136,0,0.057377
Chicago,IL,1600000US1714000,0.753900969,0.520826215,0.986975722,0.559109191,0.51745676,0.493207904,0.230288277,0.731541361,0.517794072,1,0.010929
Chula Vista,CA,1600000US0613392,0.498295242,0.437137756,0.559452727,0.395716824,0.521441311,0.477071178,0.508738158,0.585630474,0.336844903,0,0.038251
Cincinnati,OH,1600000US3915000,0.402381167,0.427166174,0.37759616,0.69621392,0.841881571,0.620874961,0.501447105,0.621144073,0.740033705,0,0.021858
Clarksville,TN,1600000US4715160,0.25015485,0.394047291,0.106262409,0.396178312,0.60808373,0.451087427,0.160789353,0.648239702,0.544233226,0,0.0081967
Clearwater,FL,1600000US1212875,0.472772051,0.526420554,0.419123547,0.576466825,0.523625717,0.412024034,0.561377134,0.491637224,0.183057744,0,0.0054645
Cleveland,OH,1600000US3916000,0.521720822,0.497910428,0.545531215,0.822818416,0.82699756,0.416387163,0.411026186,0.477581348,0.360553955,0,0.016393
Colorado Springs,CO,1600000US0816000,0.284015631,0.375928489,0.192102773,0.375957386,0.624100408,0.398222508,0.392333682,0.740254016,0.062079825,0,0.040984
Columbia (MO),MO,1600000US2915670,0.163079322,0.183347929,0.142810714,0.29127913,0.924583272,0.534312801,0.472099865,0.692037831,0.438800708,0,0.02459
Columbia (SC),SC,1600000US4516000,0.172932046,0.284001498,0.061862594,0.444491957,0.876488961,0.614766429,0.451785621,0.744964034,0.647549632,0,0.0027322
Columbus (GA),GA,1600000US1319000,0.262713182,0.469943824,0.05548254,0.58937538,0.649487732,0.387876371,0.027337809,0.674795121,0.461496183,0,0.0027322
Columbus (OH),OH,1600000US3918000,0.368105191,0.364404191,0.371806191,0.457393615,0.728585233,0.593520549,0.451391887,0.69866475,0.630505011,0,0.019126
Concord,CA,1600000US0616000,0.464912355,0.499219421,0.430605289,0.562303954,0.563865112,0.47384472,0.437465143,0.705472752,0.278596265,0,0.021858
Coral Springs,FL,1600000US1214400,0.492888205,0.434431538,0.551344872,0.251237141,0.382374066,0.552996518,0.483179417,0.564220649,0.611589489,0,0
Corona,CA,1600000US0616350,0.41395806,0.406186429,0.421729691,0.31404829,0.501675432,0.247623977,0.166477897,0.422490364,0.153903671,0,0.040984
Corpus Christi,TX,1600000US4817000,0.305612258,0.455617324,0.155607193,0.497198894,0.585964246,0.380992681,0.091024377,0.545976052,0.505977616,0,0.030055
Costa Mesa,CA,1600000US0616532,0.593440153,0.401123465,0.785756842,0.371329348,0.569082418,0.337248866,0.342266021,0.348544799,0.320935777,0,0.030055
Dallas,TX,1600000US4819000,0.409717473,0.509133824,0.310301122,0.50339863,0.485130982,0.418562885,0.165208232,0.557926157,0.532554267,1,0.035519
Daly City,CA,1600000US0617918,0.684382562,0.371067436,0.997697689,0.332798037,0.590663166,0.534114172,0.543201936,0.672480464,0.386660115,0,0
Davenport,IA,1600000US1919000,0.232956033,0.349459146,0.11645292,0.54574721,0.846828918,0.460510809,0.17950081,0.64324023,0.558791386,0,0
Dayton,OH,1600000US3921000,0.355314118,0.491212075,0.219416161,0.811767631,0.829343481,0.520573032,0.526062334,0.459924683,0.575732078,0,0.021858
Denton,TX,1600000US4819972,0.246889132,0.39377011,0.100008153,0.311553378,0.524013159,0.529783864,0.522000296,0.639698411,0.427652886,0,0.04918
Denver,CO,1600000US0820000,0.424793063,0.409716827,0.439869299,0.42104153,0.601607876,0.57001535,0.256022004,0.795634657,0.65838939,0,0.051913
Des Moines,IA,1600000US1921000,0.324320787,0.427764956,0.220876619,0.694845201,0.839315289,0.434047652,0.171011978,0.644539206,0.486591771,0,0.013661
Detroit,MI,1600000US2622000,0.595289701,0.65047437,0.540105031,0.888790427,0.587841686,0.451947239,0.303163312,0.511533708,0.541144698,0,0.0054645
Downey,CA,1600000US0619766,0.670130309,0.425441393,0.914819225,0.400202991,0.549320206,0.341561524,0.172136184,0.276423756,0.576124632,0,0.035519
Durham,NC,1600000US3719000,0.268390099,0.34488635,0.191893848,0.369676868,0.679904167,0.710496937,0.721937216,0.814511786,0.59504181,0,0
El Monte,CA,1600000US0622230,0.799704474,0.610803681,0.988605267,0.579274284,0.357666922,0.20909742,0.105065586,0.240591032,0.28163564,0,0.043716
El Paso,TX,1600000US4824000,0.380211962,0.529292047,0.231131877,0.493585174,0.435001081,0.43593257,0.050683911,0.566088058,0.691025742,0,0.051913
Elgin,IL,1600000US1723074,0.366269269,0.45611685,0.276421688,0.480708751,0.568475052,0.460864566,0.465558007,0.323603132,0.593432559,0,0.0054645
Elizabeth,NJ,1600000US3421000,0.786926278,0.611747703,0.962104853,0.653469187,0.429973782,0.392272899,0.127569202,0.389842802,0.659406694,0,0.0054645
Elk Grove,CA,1600000US0622020,0.31053852,0.233488871,0.387588168,0.217307697,0.750329954,0.460853311,0.248632883,0.742123988,0.391803063,0,0.043716
Escondido,CA,1600000US0622804,0.496427359,0.581665666,0.411189052,0.551116784,0.387785452,0.478647299,0.59711399,0.486276907,0.352551,0,0.035519
Eugene,OR,1600000US4123850,0.432757386,0.503670411,0.361844362,0.574263579,0.566922757,0.562209764,0.365720522,0.822739367,0.498169402,0,0.016393
Evansville,IN,1600000US1822000,0.346654067,0.450787166,0.242520968,0.685322797,0.783748465,0.406470672,0.416831416,0.567851651,0.23472895,0,0.021858
Everett,WA,1600000US5322640,0.353682301,0.433750654,0.273613948,0.617371364,0.749870056,0.445297637,0.383974564,0.695585553,0.256332794,0,0.016393
Fairfield,CA,1600000US0623182,0.331901353,0.394575067,0.269227639,0.403733402,0.614583267,0.360597343,0.230775023,0.566654022,0.284362985,0,0.035519
Fargo,ND,1600000US3825700,0.217644297,0.241805244,0.19348335,0.289909002,0.806298514,0.558682393,0.494112452,0.67724558,0.504689147,0,0.019126
Fayetteville,NC,1600000US3722920,0.253787475,0.410313249,0.097261701,0.456964824,0.636338325,0.576792742,0.433217339,0.716234212,0.580926674,0,0
Fontana,CA,1600000US0624680,0.524255741,0.532843574,0.515667907,0.435968762,0.370281614,0.164831094,0.070294573,0.28399528,0.140203429,0,0.032787
Fort Collins,CO,1600000US0827425,0.276613046,0.302620867,0.250605225,0.258875369,0.653633636,0.620968316,0.783746864,0.821729785,0.257428299,0,0.051913
Fort Lauderdale,FL,1600000US1224000,0.518068614,0.535963731,0.500173497,0.647412226,0.575484765,0.558826124,0.491895161,0.504772464,0.679810747,0,0
Fort Wayne,IN,1600000US1825000,0.337191621,0.476685315,0.197697927,0.544579828,0.591209198,0.519859446,0.331046476,0.598121842,0.630410019,0,0.019126
Fort Worth,TX,1600000US4827000,0.331314125,0.471058867,0.191569384,0.43508774,0.492970006,0.500303636,0.292921175,0.487187609,0.720802125,1,0.030055
Fremont,CA,1600000US0626000,0.260661424,0.249255014,0.272067834,0.16938577,0.670875742,0.61544201,0.639961553,0.887348986,0.319015491,0,0.021858
Fresno,CA,1600000US0627000,0.545046001,0.604762681,0.485329321,0.729350772,0.519825409,0.40195897,0.128853592,0.556687625,0.520335693,0,0.04918
Frisco,TX,1600000US4827684,0.20538673,0.227989084,0.182784376,0.115230022,0.659251853,0.730572764,0.845096094,0.742426544,0.604195654,0,0.032787
Fullerton,CA,1600000US0628000,0.574261099,0.458456855,0.690065342,0.381732263,0.464818553,0.424138935,0.56826586,0.390882806,0.313268139,0,0.032787
Gainesville,FL,1600000US1225175,0.201441636,0.241618729,0.161264543,0.298139506,0.814902048,0.434745583,0.57750324,0.677889887,0.048843622,0,0.0054645
Garden Grove,CA,1600000US0629000,0.752091975,0.560593702,0.943590247,0.475009082,0.353821677,0.30068269,0.377245888,0.228932557,0.295869625,0,0.032787
Garland,TX,1600000US4829000,0.495236374,0.571290177,0.419182571,0.488238939,0.345658584,0.32816299,0.410736002,0.370497245,0.203255724,0,0.032787
Glendale (AZ),AZ,1600000US0427820,0.435832546,0.476347792,0.395317299,0.453899145,0.501203561,0.497941398,0.47783803,0.555007098,0.460979065,0,0.040984
Glendale (CA),CA,1600000US0630000,0.587114113,0.458706106,0.71552212,0.507089239,0.589677028,0.269990035,0.10284911,0.441499542,0.265621454,0,0.043716
Grand Prairie,TX,1600000US4830464,0.333461384,0.478506741,0.188416026,0.316488876,0.359475394,0.315298461,0.325181989,0.367846572,0.252866823,0,0.032787
Grand Rapids,MI,1600000US2634000,0.471177365,0.49836855,0.44398618,0.755824838,0.759087738,0.608546233,0.540795301,0.569444811,0.715398588,0,0
Green Bay,WI,1600000US5531000,0.284044177,0.379426291,0.188662064,0.626778717,0.867926135,0.501643535,0.454846551,0.557886878,0.492197176,0,0.0054645
Greensboro,NC,1600000US3728000,0.280453335,0.386176746,0.174729924,0.379244689,0.606891198,0.674690774,0.526290446,0.755761773,0.742020102,0,0.0054645
Gresham,OR,1600000US4131250,0.54954494,0.60460454,0.49448534,0.72301382,0.51380474,0.560590864,0.312575812,0.765684254,0.603512526,0,0.060109
Hampton,VA,1600000US5135000,0.333185862,0.437506952,0.228864772,0.570666061,0.695652157,0.382084315,0.10744283,0.473225023,0.56558509,0,0
Hartford,CT,1600000US0937000,0.641794695,0.516655426,0.766933964,0.838584497,0.805273645,0.439478692,0.477098162,0.434016896,0.407321017,0,0.0054645
Hayward,CA,1600000US0633000,0.416125449,0.500998462,0.331252436,0.494408638,0.492411715,0.543276469,0.6088606,0.647871804,0.373097003,0,0.019126
Henderson,NV,1600000US3231900,0.261635698,0.302232859,0.221038537,0.208917602,0.604451884,0.57268278,0.318212412,0.813035513,0.586800415,0,0.046448
Hialeah,FL,1600000US1230000,0.813415072,0.679067785,0.947762359,0.734301683,0.376166113,0.282089943,0.11866825,0.411741146,0.315860434,0,0
High Point,NC,1600000US3731400,0.322146106,0.488395594,0.155896618,0.515212807,0.538421618,0.568322353,0.370360886,0.6851627,0.649443472,0,0.0054645
Hollywood,FL,1600000US1232000,0.546882017,0.566104839,0.527659196,0.623669106,0.491459429,0.37736684,0.365834975,0.496505863,0.269759683,0,0
Honolulu,HI,1600000US1571550,0.550101536,0.520850811,0.57935226,0.462305135,0.420603513,0.416499671,0.082830147,0.845034673,0.321634192,0,
Houston,TX,1600000US4835000,0.42155733,0.504466885,0.338647775,0.487883745,0.478949975,0.532211565,0.377928067,0.59216993,0.626536699,0,0.016393
Huntington Beach,CA,1600000US0636000,0.599441144,0.409629714,0.789252574,0.325087149,0.505827721,0.539217591,0.562284129,0.519937182,0.535431463,0,0.030055
Huntsville,AL,1600000US0137000,0.221605861,0.389194665,0.054017057,0.457239574,0.678850244,0.552900799,0.598457739,0.579283892,0.480960766,0,0.0081967
Independence,MO,1600000US2935000,0.32721116,0.544345108,0.110077212,0.629415266,0.540725049,0.39149325,0.207994357,0.662141541,0.304343852,0,0.04918
Indianapolis,IN,1600000US1836003,0.339565904,0.484946571,0.194185236,0.614368213,0.64447507,0.514230256,0.273608648,0.699161914,0.569920205,0,0.019126
Inglewood,CA,1600000US0636546,0.857844943,0.724967953,0.990721934,0.692335285,0.24239938,0.283695944,0.120456708,0.253773354,0.476857768,0,0.030055
Irvine,CA,1600000US0636770,0.286960603,0.220484823,0.353436382,0.082634506,0.64166486,0.381780673,0.481709801,0.587151623,0.076480594,0,0.035519
Irving,TX,1600000US4837000,0.402463438,0.482149764,0.322777112,0.33725698,0.372957452,0.367307882,0.116861266,0.40564102,0.579421359,0,0.032787
Jackson,MS,1600000US2836000,0.289512557,0.467842484,0.111182631,0.700672868,0.764987901,0.48514008,0.413606531,0.621439469,0.42037424,1,0.0081967
Jacksonville,FL,1600000US1235000,0.260757821,0.457430919,0.064084723,0.500597685,0.585735847,0.456647484,0.392626338,0.694954744,0.28236137,0,0.0054645
Jersey City,NJ,1600000US3436000,0.736576278,0.473194181,0.999958375,0.419057256,0.472668893,0.462040644,0.091209232,0.707793981,0.58711872,0,0.0054645
Joliet,IL,1600000US1738570,0.310473178,0.419113717,0.201832639,0.480520504,0.64229307,0.429560362,0.531432974,0.453431438,0.303816675,0,0.013661
Kansas City (KS),KS,1600000US2036000,0.328338688,0.578311506,0.07836587,0.759129441,0.602506429,0.314061111,0.377147551,0.498178239,0.066857544,0,0.04918
Kansas City (MO),MO,1600000US2938000,0.270056672,0.433042089,0.107071255,0.551632471,0.685548293,0.599923666,0.41517912,0.644128232,0.740463645,0,0.046448
Kent,WA,1600000US5335415,0.449633501,0.46398998,0.435277022,0.469765974,0.541786015,0.703088706,0.816324272,0.725844731,0.567097114,0,0.038251
Killeen,TX,1600000US4839148,0.316101351,0.416898535,0.215304167,0.350695424,0.516898354,0.311354369,0.152896508,0.474913741,0.306252858,0,0.027322
Knoxville,TN,1600000US4740000,0.261736049,0.387743522,0.135728575,0.603350359,0.827863314,0.538188501,0.585467403,0.584720309,0.44437779,0,0.0081967
Lafayette,LA,1600000US2240735,0.270217705,0.32420811,0.216227301,0.424902274,0.776486055,0.303475449,0.33346471,0.561616041,0.015345597,0,0.0081967
Lakewood,CO,1600000US0843000,0.379497265,0.432312173,0.326682358,0.436132556,0.571508211,0.572383802,0.685940025,0.721276704,0.309934677,0,0.051913
Lancaster,CA,1600000US0640130,0.269403841,0.410493824,0.128313858,0.408336592,0.587348944,0.246175526,0.113599903,0.360373246,0.26455343,0,0.043716
Lansing,MI,1600000US2646000,0.364605449,0.4344514,0.294759498,0.735249991,0.866347191,0.530031413,0.531788898,0.625166003,0.433139339,0,0
Laredo,TX,1600000US4841464,0.423155073,0.608500173,0.237809973,0.551300339,0.334299993,0.363225293,0.018305034,0.491765828,0.579605018,0,0.04918
Las Vegas,NV,1600000US3240000,0.482822779,0.493113064,0.472532494,0.46130593,0.475079801,0.50905944,0.175986714,0.654774745,0.696416861,1,0.043716
Lexington-Fayette,KY,1600000US2146027,0.171618365,0.271982604,0.071254127,0.361919558,0.81795435,0.419149155,0.282335327,0.721115087,0.25399705,0,0.016393
Lincoln,NE,1600000US3128000,0.310218395,0.341839377,0.278597413,0.37724366,0.693564907,0.457115163,0.135642836,0.683275637,0.552427016,0,0.060109
Little Rock,AR,1600000US0541000,0.20295648,0.283848034,0.122064925,0.414407018,0.846710951,0.493415285,0.189415458,0.639448087,0.651382311,0,0.019126
Long Beach,CA,1600000US0643000,0.742778865,0.563553643,0.922004086,0.534184568,0.407077282,0.372098913,0.143223048,0.514451968,0.458621724,0,0.030055
