City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Flood Event,Projected Cost of Flood Event,Probability of Flood Event in 2040,Probability of a flood between 2019 and 2040
Abilene,TX,1600000US4801000,0.699358548,0.574713907,0.824003189,0.47873874,0.329310925,0.314171634,0.120898975,0.22060892,0.601007007,0,199952.1551,0.0027322,0.054644
Akron,OH,1600000US3901000,0.289343833,0.410390183,0.168297483,0.6038735,0.783093134,0.507761981,0.514565021,0.514348213,0.494372709,1057253.833,943497.2836,0,0
Albuquerque,NM,1600000US3502000,0.287199625,0.454036162,0.120363089,0.495268064,0.58719574,0.631971634,0.317515164,0.795842931,0.782556807,53895.67647,644325.2692,0.0027322,0.054644
Alexandria,VA,1600000US5101000,0.357486071,0.426807151,0.28816499,0.410567515,0.556953212,0.523200248,0.362578497,0.609320849,0.597701399,3571.428571,25621881.81,0,0
Allentown,PA,1600000US4202000,0.547926316,0.683385076,0.412467556,0.700654788,0.333884636,0.393284809,0.425955125,0.245750635,0.508148668,12500,3395897.606,0,0
Amarillo,TX,1600000US4803000,0.38357934,0.597458237,0.169700443,0.495511053,0.300594579,0.364131608,0.1332197,0.323916935,0.635258189,7555.366667,972065.0371,0.0027322,0.054644
Anaheim,CA,1600000US0602000,0.319346121,0.586865118,0.051827125,0.632330182,0.458599947,0.238532903,0.290318082,0.366885437,0.05839519,70.25,574679.9488,0.0027322,0.054644
Anchorage,AK,1600000US0203000,0.488986117,0.548469781,0.429502454,0.402007137,0.305067575,0.365687718,0.066165944,0.763855378,0.267041833,1196666.667,1040052.073,,0
Ann Arbor,MI,1600000US2603000,0.209645888,0.288871528,0.130420247,0.47968539,0.901942333,0.846281523,0.889023387,0.82855367,0.821267512,0,304734.253,0.0054645,0.10929
Antioch,CA,1600000US0602252,0.280219559,0.360277174,0.200161945,0.377009383,0.656455036,0.453829954,0.390132813,0.680222435,0.291134615,0,351822.7439,0.010929,0.21858
Arlington,TX,1600000US4804000,0.380829805,0.58424653,0.177413079,0.379993858,0.211500798,0.417087415,0.177955031,0.472811186,0.600496029,10875,1539921.583,0,0
Arvada,CO,1600000US0803455,0.420959777,0.422658266,0.419261289,0.31823675,0.472920219,0.577774278,0.693215072,0.750923368,0.289184393,2176071,527096.6325,0,0
Atlanta,GA,1600000US1304000,0.261472786,0.384630734,0.138314838,0.397228025,0.627966557,0.551071731,0.240164098,0.809638532,0.603412564,52912.73684,2449937.664,0,0
Aurora (CO),CO,1600000US0804000,0.313041303,0.441206938,0.184875669,0.387585377,0.505171502,0.557648476,0.416584263,0.695948302,0.560412861,603280.25,560366.0417,0,0
Aurora (IL),IL,1600000US1703012,0.239882958,0.405638804,0.074127111,0.354522004,0.543244395,0.333381273,0.307348364,0.387187194,0.305608261,689967.7143,353607.1353,0.0027322,0.054644
Austin,TX,1600000US4805000,0.311375381,0.38546399,0.237286772,0.260117961,0.48918998,0.686704603,0.484006447,0.773961391,0.80214597,1398811.075,781172.4851,0.0027322,0.054644
Bakersfield,CA,1600000US0603526,0.229018912,0.390608488,0.067429337,0.390299557,0.609082581,0.394198631,0.24077255,0.533542093,0.40828125,695675.3333,1221462.887,0,0
Baltimore,MD,1600000US2404000,0.246471043,0.422471738,0.070470348,0.667314286,0.822370811,0.498351686,0.165456718,0.716780381,0.612817959,294.1176471,1678907.089,0,0
Baton Rouge,LA,1600000US2205000,0.560744886,0.446680871,0.674808901,0.524258736,0.630896993,0.364241068,0.227587719,0.659260163,0.205875323,32646905.25,2014247.381,0,0
Bayamon,PR,1600000US7206593,0.311558648,0.426023968,0.197093328,0.382384308,0.530336371,0.429483628,0.335648513,0.318900746,0.633901626,1388.833333,838536.8682,,0
Beaumont,TX,1600000US4807000,0.624929014,0.577428042,0.672429986,0.513516177,0.358660093,0.450047748,0.223412138,0.582689989,0.544041116,5634.73913,365308.1624,0,0
Bellevue,WA,1600000US5305210,0.289028876,0.29556139,0.282496362,0.272510807,0.681388027,0.745513261,0.772656072,0.87214815,0.591735559,NA,4467761.742,0,0
Berkeley,CA,1600000US0606000,0.246511609,0.448339461,0.044683757,0.634655459,0.737976536,0.798836738,0.880018377,0.856989113,0.659502723,22500,3342442.267,0.0027322,0.054644
Billings,MT,1600000US3006550,0.241500063,0.428210336,0.054789789,0.548388849,0.691968177,0.545349372,0.395532432,0.622329737,0.618185946,494167.75,844961.7973,0.0054645,0.10929
Birmingham,AL,1600000US0107000,0.276388997,0.390477222,0.162300771,0.553221544,0.772267099,0.521546958,0.521627022,0.583001743,0.460012108,1161.904762,3687350.77,0,0
Boise City,ID,1600000US1608830,0.318256814,0.498791688,0.137721939,0.430579307,0.43299593,0.608537142,0.766494748,0.691956962,0.367159716,2500,435578.5169,0.0054645,0.10929
Boston,MA,1600000US2507000,0.308542354,0.309004095,0.308080614,0.571554074,0.953545884,0.690168244,0.41229717,0.807304436,0.850903126,128000.7059,1233869.627,0,0
Bridgeport,CT,1600000US0908000,0.616586615,0.569126616,0.664046613,0.716076859,0.577823627,0.39784825,0.403533895,0.506605527,0.283405329,0,603584.0818,0,0
Brownsville,TX,1600000US4810768,0.564661625,0.531604062,0.597719189,0.466353159,0.403145036,0.332297984,0.049999934,0.490213016,0.456681003,77131.41667,768830.7058,0.0081967,0.163934
Buffalo,NY,1600000US3611000,0.419966556,0.488219148,0.351713964,0.722899522,0.746461226,0.404346839,0.232178708,0.532530987,0.448330821,5599,1182518.699,0,0
Burbank,CA,1600000US0608954,0.307483877,0.431740129,0.183227625,0.519982722,0.656502465,0.21853906,0.101872943,0.478638837,0.0751054,NA,320581.4692,0.0027322,0.054644
Burlington,VT,1600000US5010675,0.569119648,0.267744276,0.87049502,0.519724845,0.984236293,0.661313341,0.94909862,0.757202458,0.277638945,57065.1,533437.2974,0,0
Cambridge,MA,1600000US2511000,0.268969659,0.377150747,0.160788571,0.528566512,0.774265019,0.783737413,0.853471935,0.671305127,0.826435179,2024128.667,963217.7792,0,0
Cape Coral,FL,1600000US1210275,0.691820701,0.506824941,0.876816461,0.197218678,0.183568796,0.387964362,0.338554998,0.56835618,0.256981908,0,133824.6921,0.0054645,0.10929
Carlsbad,CA,1600000US0611194,0.239074349,0.320200226,0.157948472,0.369086164,0.728685711,0.635383643,0.770786586,0.7716327,0.363731643,0,866790.3502,0.010929,0.21858
Carolina,PR,1600000US7214290,0.5425233,0.234058287,0.850988312,0.349219334,0.88110276,0.432361557,0.302364877,0.379221184,0.615498609,597.2222222,586779.951,,0
Carrollton,TX,1600000US4813024,0.395587837,0.475939845,0.315235828,0.281430326,0.329550636,0.541749472,0.548834314,0.484518628,0.591895475,103135.4286,476285.9636,0,0
Cedar Rapids,IA,1600000US1912000,0.339886836,0.2839392,0.395834471,0.465040413,0.897162013,0.544497556,0.412750112,0.696003562,0.524738994,20760.65,3211062.622,0.0054645,0.10929
Centennial,CO,1600000US0812815,0.214080096,0.309286439,0.118873753,0.271838066,0.653265189,0.587376686,0.598580621,0.830216104,0.333333333,7254.75,5883953.971,0,0
Chandler,AZ,1600000US0412000,0.245166977,0.453997151,0.036336803,0.283921522,0.375927219,0.63267146,0.457044344,0.698956097,0.74201394,0,284378.0462,0.0027322,0.054644
Charleston (SC),SC,1600000US4513330,0.348121006,0.36904233,0.327199682,0.326949034,0.588864374,0.504766871,0.324998655,0.759622891,0.429679067,53476.58741,16796231.04,0,0
Charleston (WV),WV,1600000US5414600,0.509442991,0.258574713,0.760311269,0.437850164,0.920700737,0.444131606,0.359115575,0.668594078,0.304685165,779294.3,1639354.241,0,0
Charlotte,NC,1600000US3712000,0.270023498,0.391326121,0.148720874,0.293649898,0.510997656,0.551761846,0.42803133,0.784285085,0.442969123,65111,843246.4072,0,0
Chattanooga,TN,1600000US4714000,0.400641444,0.338056062,0.463226826,0.467460108,0.791347985,0.369471856,0.103003286,0.623045916,0.382366366,6074.466667,356006.0017,0.0027322,0.054644
Chesapeake,VA,1600000US5116000,0.465321716,0.312981098,0.617662335,0.276436907,0.650474712,0.535989126,0.364387687,0.658524233,0.585055458,727000,539265.409,0,0
Cheyenne,WY,1600000US5613900,0.225912011,0.372808548,0.079015475,0.451240838,0.705623742,0.463950905,0.459156011,0.696976568,0.235720136,0,2050379.225,0,0
Chicago,IL,1600000US1714000,0.288766984,0.539208014,0.038325955,0.618106001,0.539689973,0.493207904,0.230288277,0.731541361,0.517794072,3158358.441,1313020.953,0.0027322,0.054644
Chula Vista,CA,1600000US0613392,0.308299584,0.477447192,0.139151976,0.528832637,0.573938253,0.477071178,0.508738158,0.585630474,0.336844903,0,577804.7875,0.0054645,0.10929
Cincinnati,OH,1600000US3915000,0.403694334,0.368586185,0.438802483,0.602899522,0.865727152,0.620874961,0.501447105,0.621144073,0.740033705,69085.24138,373912.0007,0,0
Clarksville,TN,1600000US4715160,0.338394392,0.338435049,0.338353736,0.295727325,0.618857228,0.451087427,0.160789353,0.648239702,0.544233226,184473.4286,165822.9886,0,0
Clearwater,FL,1600000US1212875,0.636865552,0.682639113,0.59109199,0.700996139,0.335717913,0.412024034,0.561377134,0.491637224,0.183057744,1666.666667,545640.9309,0.0054645,0.10929
Cleveland,OH,1600000US3916000,0.269733725,0.46410464,0.075362809,0.712746548,0.784537267,0.416387163,0.411026186,0.477581348,0.360553955,76270.11111,4227007.738,0,0
Colorado Springs,CO,1600000US0816000,0.226667244,0.359002105,0.094332382,0.348553982,0.630549772,0.398222508,0.392333682,0.740254016,0.062079825,144118,1459570.211,0,0
Columbia (MO),MO,1600000US2915670,0.220090027,0.203219635,0.236960419,0.34179604,0.93535677,0.534312801,0.472099865,0.692037831,0.438800708,2237049.4,231457.1786,0,0
Columbia (SC),SC,1600000US4516000,0.35095369,0.281073107,0.420834273,0.354440672,0.792294458,0.614766429,0.451785621,0.744964034,0.647549632,129357.16,325240.2543,0,0
Columbus (GA),GA,1600000US1319000,0.347090281,0.374986465,0.319194097,0.405910026,0.655937096,0.387876371,0.027337809,0.674795121,0.461496183,31952.4,1924997.112,0,0
Columbus (OH),OH,1600000US3918000,0.457059511,0.366961741,0.547157281,0.439563629,0.705640148,0.593520549,0.451391887,0.69866475,0.630505011,6578.88,9781841.885,0,0
Concord,CA,1600000US0616000,0.349305865,0.486420546,0.212191185,0.556179489,0.583338396,0.47384472,0.437465143,0.705472752,0.278596265,NA,1076487.365,0.010929,0.21858
Coral Springs,FL,1600000US1214400,0.727338098,0.625377309,0.829298886,0.353738594,0.102983976,0.552996518,0.483179417,0.564220649,0.611589489,69563,2792113.754,0,0
Corona,CA,1600000US0616350,0.406704435,0.626421496,0.186987374,0.462023847,0.209180855,0.247623977,0.166477897,0.422490364,0.153903671,6834,257957.0901,0.0027322,0.054644
Corpus Christi,TX,1600000US4817000,0.600881832,0.473106566,0.728657098,0.386556653,0.440343521,0.380992681,0.091024377,0.545976052,0.505977616,81398.32692,1087436.009,0.0054645,0.10929
Costa Mesa,CA,1600000US0616532,0.20815773,0.387631041,0.028684418,0.509268865,0.734006783,0.337248866,0.342266021,0.348544799,0.320935777,0,3411455.093,0.0027322,0.054644
Dallas,TX,1600000US4819000,0.382429402,0.462619641,0.302239162,0.418979376,0.493740093,0.418562885,0.165208232,0.557926157,0.532554267,533463,410507.0034,0,0
Daly City,CA,1600000US0617918,0.210048445,0.41132191,0.00877498,0.479075644,0.656431824,0.534114172,0.543201936,0.672480464,0.386660115,0,1742650.138,0.0027322,0.054644
Davenport,IA,1600000US1919000,0.408415653,0.308989461,0.507841845,0.482100259,0.864121337,0.460510809,0.17950081,0.64324023,0.558791386,NA,656564.0703,0.0027322,0.054644
Dayton,OH,1600000US3921000,0.306228871,0.419579769,0.192877972,0.67711213,0.837952592,0.520573032,0.526062334,0.459924683,0.575732078,NA,263260.8291,0,0
Denton,TX,1600000US4819972,0.472564417,0.502291593,0.442837241,0.340381042,0.335797856,0.529783864,0.522000296,0.639698411,0.427652886,6565.142857,284573.2259,0,0
Denver,CO,1600000US0820000,0.272464922,0.458281265,0.086648579,0.411828459,0.495265929,0.57001535,0.256022004,0.795634657,0.65838939,61831.58824,411221.7781,0,0
Des Moines,IA,1600000US1921000,0.513932642,0.409684677,0.618180606,0.552947926,0.733578573,0.434047652,0.171011978,0.644539206,0.486591771,71076.36792,664038.0608,0,0
Detroit,MI,1600000US2622000,0.307720758,0.586673917,0.028767599,0.77848194,0.605134106,0.451947239,0.303163312,0.511533708,0.541144698,4800128.615,374970.4111,0,0
Downey,CA,1600000US0619766,0.307323581,0.574625434,0.040021729,0.475138406,0.325887538,0.341561524,0.172136184,0.276423756,0.576124632,NA,275427.1104,0.0027322,0.054644
Durham,NC,1600000US3719000,0.295136286,0.342843655,0.247428918,0.327422257,0.641734947,0.710496937,0.721937216,0.814511786,0.59504181,8970.944444,523582.4833,0,0
El Monte,CA,1600000US0622230,0.251406789,0.502813577,0,0.675034855,0.6694077,0.20909742,0.105065586,0.240591032,0.28163564,NA,6498115.277,0.0027322,0.054644
El Paso,TX,1600000US4824000,0.323632054,0.498069319,0.149194789,0.393101331,0.396962693,0.43593257,0.050683911,0.566088058,0.691025742,68997.11765,2561597.053,0,0
Elgin,IL,1600000US1723074,0.32387043,0.440411629,0.20732923,0.457907421,0.577084163,0.460864566,0.465558007,0.323603132,0.593432559,3759.833333,290370.8555,0.0027322,0.054644
Elizabeth,NJ,1600000US3421000,0.4394721,0.770810346,0.108133853,0.65297972,0.111359029,0.392272899,0.127569202,0.389842802,0.659406694,0,726017.736,0,0
Elk Grove,CA,1600000US0622020,0.169341716,0.226907074,0.111776358,0.208438563,0.754624415,0.460853311,0.248632883,0.742123988,0.391803063,NA,602306.6172,0.0081967,0.163934
Escondido,CA,1600000US0622804,0.354993598,0.598333566,0.11165363,0.627437454,0.430770322,0.478647299,0.59711399,0.486276907,0.352551,0,911442.8139,0.0054645,0.10929
Eugene,OR,1600000US4123850,0.390865024,0.523329446,0.258400603,0.626523966,0.579865074,0.562209764,0.365720522,0.822739367,0.498169402,27366,380401.2431,0,0
Evansville,IN,1600000US1822000,0.374526307,0.495012209,0.254040405,0.534241614,0.544217196,0.406470672,0.416831416,0.567851651,0.23472895,17732.05556,1016848.257,0,0
Everett,WA,1600000US5322640,0.307882174,0.392957811,0.222806538,0.553078097,0.767162476,0.445297637,0.383974564,0.695585553,0.256332794,18274,1915699.788,0,0
Fairfield,CA,1600000US0623182,0.307864025,0.383767714,0.231960335,0.395061013,0.627525584,0.360597343,0.230775023,0.566654022,0.284362985,497898,724685.3373,0.010929,0.21858
Fargo,ND,1600000US3825700,0.530748023,0.245892773,0.815603274,0.317557344,0.825771797,0.558682393,0.494112452,0.67724558,0.504689147,12923.16667,1753887.408,0,0
Fayetteville,NC,1600000US3722920,0.396119213,0.38123773,0.411000696,0.407422897,0.644947437,0.576792742,0.433217339,0.716234212,0.580926674,2000747.889,1711115.509,0,0
Fontana,CA,1600000US0624680,0.267328482,0.496428442,0.038228522,0.420060382,0.427203498,0.164831094,0.070294573,0.28399528,0.140203429,12516.25,446719.085,0,0
Fort Collins,CO,1600000US0827425,0.226937675,0.352445789,0.10142956,0.362819676,0.657928097,0.620968316,0.783746864,0.821729785,0.257428299,15007888,837904.5449,0,0
Fort Lauderdale,FL,1600000US1224000,0.77899218,0.611246443,0.946737918,0.562570808,0.340077921,0.558826124,0.491895161,0.504772464,0.679810747,90459.92308,1783344.736,0.0027322,0.054644
Fort Wayne,IN,1600000US1825000,0.338812646,0.475094188,0.202531104,0.545692034,0.595503659,0.519859446,0.331046476,0.598121842,0.630410019,0,1180841.759,0,0
Fort Worth,TX,1600000US4827000,0.315758965,0.427022552,0.204495378,0.325226733,0.471181628,0.500303636,0.292921175,0.487187609,0.720802125,80304.28947,1482026.425,0,0
Fremont,CA,1600000US0626000,0.346671508,0.298679706,0.394663309,0.285527575,0.688168162,0.61544201,0.639961553,0.887348986,0.319015491,NA,820325.8924,0.010929,0.21858
Fresno,CA,1600000US0627000,0.326869422,0.590351145,0.063387699,0.660824014,0.480121724,0.40195897,0.128853592,0.556687625,0.520335693,2455.176471,1437516.102,0,0
Frisco,TX,1600000US4827684,0.226255909,0.261377723,0.191134095,0.184151905,0.661396458,0.730572764,0.845096094,0.742426544,0.604195654,1810.428571,864437.0732,0,0
Fullerton,CA,1600000US0628000,0.263746196,0.494253062,0.03323933,0.508034035,0.519527912,0.424138935,0.56826586,0.390882806,0.313268139,NA,696838.9968,0.0027322,0.054644
Gainesville,FL,1600000US1225175,0.4477088,0.355524001,0.5398936,0.401992981,0.690944979,0.434745583,0.57750324,0.677889887,0.048843622,0,416023.0571,0.0054645,0.10929
Garden Grove,CA,1600000US0629000,0.38229107,0.563999218,0.200582923,0.591305811,0.463307376,0.30068269,0.377245888,0.228932557,0.295869625,0,1140596.39,0.0027322,0.054644
Garland,TX,1600000US4829000,0.478955365,0.564887477,0.393023253,0.403929791,0.274154837,0.32816299,0.410736002,0.370497245,0.203255724,454438.6,2290861.199,0,0
Glendale (AZ),AZ,1600000US0427820,0.348591377,0.595568255,0.101614499,0.551560586,0.360424076,0.497941398,0.47783803,0.555007098,0.460979065,11.4,201788.436,0.0054645,0.10929
Glendale (CA),CA,1600000US0630000,0.353783382,0.445874407,0.261692357,0.520662926,0.628914112,0.269990035,0.10284911,0.441499542,0.265621454,NA,457490.1933,0.0027322,0.054644
Grand Prairie,TX,1600000US4830464,0.542872947,0.45481728,0.630928614,0.275559318,0.365924758,0.315298461,0.325181989,0.367846572,0.252866823,9142.0625,702526.833,0,0
Grand Rapids,MI,1600000US2634000,0.223117918,0.446235837,0,0.660168523,0.767696849,0.608546233,0.540795301,0.569444811,0.715398588,30680.5,3163314.759,0.0027322,0.054644
Green Bay,WI,1600000US5531000,0.406798859,0.448665507,0.36493221,0.483170113,0.585839099,0.501643535,0.454846551,0.557886878,0.492197176,31600,1894536.266,0,0
Greensboro,NC,1600000US3728000,0.332897064,0.442961897,0.222832231,0.366442097,0.480518302,0.674690774,0.526290446,0.755761773,0.742020102,6538.461538,1071681.308,0,0
Gresham,OR,1600000US4131250,0.463999561,0.556409481,0.371589641,0.635232813,0.522413851,0.560590864,0.312575812,0.765684254,0.603512526,211614,1483603.797,0,0
Hampton,VA,1600000US5135000,0.603651527,0.393830284,0.81347277,0.489762088,0.70210152,0.382084315,0.10744283,0.473225023,0.56558509,33393.16667,456094.1332,0,0
Hartford,CT,1600000US0937000,0.430972875,0.605277061,0.256668689,0.71564282,0.505088698,0.439478692,0.477098162,0.434016896,0.407321017,4337,1606548.073,0,0
Hayward,CA,1600000US0633000,0.423860382,0.495196034,0.35252473,0.524247999,0.533855931,0.543276469,0.6088606,0.647871804,0.373097003,0,1342197.368,0.010929,0.21858
Henderson,NV,1600000US3231900,0.201808492,0.30700105,0.096615934,0.222748445,0.608746345,0.57268278,0.318212412,0.813035513,0.586800415,11427.92308,422236.2681,0,0
Hialeah,FL,1600000US1230000,0.843996552,0.748753024,0.93924008,0.668113648,0.1706076,0.282089943,0.11866825,0.411741146,0.315860434,0,1486009.505,0,0
High Point,NC,1600000US3731400,0.310662695,0.419810579,0.20151481,0.386651888,0.547030729,0.568322353,0.370360886,0.6851627,0.649443472,1.00E+05,806707.5367,0,0
Hollywood,FL,1600000US1232000,0.722169647,0.539112023,0.90522727,0.557162724,0.478938678,0.37736684,0.365834975,0.496505863,0.269759683,31.42857143,643879.8778,0.0027322,0.054644
Honolulu,HI,1600000US1571550,0.446500885,0.342215448,0.550786322,0.438367738,0.753936842,0.416499671,0.082830147,0.845034673,0.321634192,0,418826.2218,,0
Houston,TX,1600000US4835000,0.483500673,0.473660421,0.493340926,0.424295596,0.476974755,0.532211565,0.377928067,0.59216993,0.626536699,95174.72727,124529.0895,0.0054645,0.10929
Huntington Beach,CA,1600000US0636000,0.402146369,0.469346104,0.334946634,0.551855846,0.613163639,0.539217591,0.562284129,0.519937182,0.535431463,33715.85714,825048.3279,0.0027322,0.054644
Huntsville,AL,1600000US0137000,0.301532456,0.333239766,0.269825145,0.35177914,0.685299608,0.552900799,0.598457739,0.579283892,0.480960766,1200.864865,789587.0378,0,0
Independence,MO,1600000US2935000,0.337836684,0.461012262,0.214661106,0.464894178,0.542869654,0.39149325,0.207994357,0.662141541,0.304343852,0,1670336.638,0.0027322,0.054644
Indianapolis,IN,1600000US1836003,0.252561971,0.436138799,0.068985144,0.489541637,0.617264039,0.514230256,0.273608648,0.699161914,0.569920205,8521.978261,1422441.617,0,0
Inglewood,CA,1600000US0636546,0.327002547,0.599450623,0.054554471,0.651239144,0.452337897,0.283695944,0.120456708,0.253773354,0.476857768,NA,1472179.721,0.0027322,0.054644
Irvine,CA,1600000US0636770,0.239796662,0.265055493,0.214537831,0.193433589,0.663322602,0.381780673,0.481709801,0.587151623,0.076480594,0,283671.1524,0.0027322,0.054644
Irving,TX,1600000US4837000,0.654494025,0.547130912,0.761857137,0.39595268,0.301690855,0.367307882,0.116861266,0.40564102,0.579421359,441831.9286,818564.705,0,0
Jackson,MS,1600000US2836000,0.567906445,0.382020704,0.753792185,0.533323769,0.769282361,0.48514008,0.413606531,0.621439469,0.42037424,20506.5,3722622.448,0,0
Jacksonville,FL,1600000US1235000,0.524402006,0.431343716,0.617460296,0.45055868,0.587871248,0.456647484,0.392626338,0.694954744,0.28236137,16501.37,646409.4582,0,0
Jersey City,NJ,1600000US3436000,0.46845251,0.538917331,0.39798769,0.525773312,0.447938649,0.462040644,0.091209232,0.707793981,0.58711872,0,398284.5362,0,0
Joliet,IL,1600000US1738570,0.282544712,0.338330856,0.226758567,0.327563894,0.650902181,0.429560362,0.531432974,0.453431438,0.303816675,58212.75,669684.0243,0.0027322,0.054644
Kansas City (KS),KS,1600000US2036000,0.309644941,0.467016794,0.152273088,0.542989381,0.608955792,0.314061111,0.377147551,0.498178239,0.066857544,0,887433.0476,0.0027322,0.054644
Kansas City (MO),MO,1600000US2938000,0.379011877,0.37654909,0.381474665,0.447255584,0.694157404,0.599923666,0.41517912,0.644128232,0.740463645,675.6756757,1044477.47,0.0027322,0.054644
Kent,WA,1600000US5335415,0.481912494,0.672750932,0.291074057,0.558741715,0.213239851,0.703088706,0.816324272,0.725844731,0.567097114,24280,1219143.198,0,0
Killeen,TX,1600000US4839148,0.435860228,0.548201459,0.323518996,0.292267014,0.195864096,0.311354369,0.152896508,0.474913741,0.306252858,36073.22222,1056540.869,0.0054645,0.10929
Knoxville,TN,1600000US4740000,0.458860041,0.312683354,0.605036727,0.46400352,0.838636812,0.538188501,0.585467403,0.584720309,0.44437779,285428.5714,808788.4664,0,0
Lafayette,LA,1600000US2240735,0.302635653,0.330804463,0.274466842,0.442389442,0.780780515,0.303475449,0.33346471,0.561616041,0.015345597,32036068.5,1762996.297,0,0
Lakewood,CO,1600000US0843000,0.238980386,0.432129266,0.045831505,0.442216108,0.577957575,0.572383802,0.685940025,0.721276704,0.309934677,3034115,1425378.074,0,0
Lancaster,CA,1600000US0640130,0.290896551,0.450989417,0.130803686,0.495777142,0.593798308,0.246175526,0.113599903,0.360373246,0.26455343,0,702410.5691,0.0027322,0.054644
Lansing,MI,1600000US2646000,0.361545552,0.373621226,0.349469879,0.622198755,0.874956303,0.530031413,0.531788898,0.625166003,0.433139339,495216.5,2710017.143,0.0054645,0.10929
Laredo,TX,1600000US4841464,0.405406504,0.688104787,0.12270822,0.474958349,0.098748774,0.363225293,0.018305034,0.491765828,0.579605018,119275,1245108.089,0.0027322,0.054644
Las Vegas,NV,1600000US3240000,0.305514114,0.459261537,0.15176669,0.402211987,0.483688913,0.50905944,0.175986714,0.654774745,0.696416861,188198.5667,2226129.361,0,0
Lexington-Fayette,KY,1600000US2146027,0.30749086,0.297300167,0.317681554,0.30102269,0.706422356,0.419149155,0.282335327,0.721115087,0.25399705,3533.333333,1215013.739,0,0
Lincoln,NE,1600000US3128000,0.356057941,0.363690388,0.348425494,0.427395046,0.70001427,0.457115163,0.135642836,0.683275637,0.552427016,3753658.375,600574.5832,0.0027322,0.054644
Little Rock,AR,1600000US0541000,0.24870139,0.327062964,0.170339817,0.445910244,0.791784316,0.493415285,0.189415458,0.639448087,0.651382311,253657.4444,481159.2003,0,0
Long Beach,CA,1600000US0643000,0.313204456,0.536904638,0.089504273,0.609460157,0.535650881,0.372098913,0.143223048,0.514451968,0.458621724,2068550,888175.1219,0.0027322,0.054644
