City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Heat Event,Probability of Heat Event in 2040
Abilene,TX,1600000US4801000,0.322690587,0.574484609,0.070896565,0.588600341,0.439631122,0.314171634,0.120898975,0.22060892,0.601007007,0,0.062842
Akron,OH,1600000US3901000,0.398229027,0.49308046,0.303377594,0.736973573,0.750812654,0.507761981,0.514565021,0.514348213,0.494372709,0,0.15847
Albuquerque,NM,1600000US3502000,0.435242011,0.599751428,0.270732593,0.489957604,0.290454748,0.631971634,0.317515164,0.795842931,0.782556807,1,0.10109
Alexandria,VA,1600000US5101000,0.687453818,0.426660041,0.948247596,0.272740691,0.419420609,0.523200248,0.362578497,0.609320849,0.597701399,0,0.065574
Allentown,PA,1600000US4202000,0.758587212,0.778669381,0.738505043,0.877971197,0.320632434,0.393284809,0.425955125,0.245750635,0.508148668,0,0.10109
Amarillo,TX,1600000US4803000,0.392892358,0.6308027,0.154982015,0.515479544,0.253874143,0.364131608,0.1332197,0.323916935,0.635258189,0,0.062842
Anaheim,CA,1600000US0602000,0.718288804,0.684463231,0.752114378,0.522898901,0.15397244,0.238532903,0.290318082,0.366885437,0.05839519,0,0.035519
Anchorage,AK,1600000US0203000,0.234428797,0.468857594,0,0.312535913,0.374820725,0.365687718,0.066165944,0.763855378,0.267041833,0,
Ann Arbor,MI,1600000US2603000,0.321737351,0.225877492,0.41759721,0.336419385,0.8846644,0.846281523,0.889023387,0.82855367,0.821267512,2,0.1776
Antioch,CA,1600000US0602252,0.46227684,0.552799256,0.371754425,0.461484466,0.355885954,0.453829954,0.390132813,0.680222435,0.291134615,0,0.032787
Arlington,TX,1600000US4804000,0.463824441,0.546398619,0.381250263,0.360806344,0.268009107,0.417087415,0.177955031,0.472811186,0.600496029,8,0.051913
Arvada,CO,1600000US0803455,0.392825388,0.489220863,0.296429914,0.330968116,0.35252639,0.577774278,0.693215072,0.750923368,0.289184393,0,0.12568
Atlanta,GA,1600000US1304000,0.352375929,0.382409436,0.322342422,0.429427779,0.664608907,0.551071731,0.240164098,0.809638532,0.603412564,0,0.095628
Aurora (CO),CO,1600000US0804000,0.403410615,0.619630512,0.187190719,0.457401881,0.218140857,0.557648476,0.416584263,0.695948302,0.560412861,0,0.11475
Aurora (IL),IL,1600000US1703012,0.516688847,0.570500674,0.46287702,0.412699556,0.271698208,0.333381273,0.307348364,0.387187194,0.305608261,0,0.13115
Austin,TX,1600000US4805000,0.325011264,0.388951231,0.261071298,0.254705131,0.47680267,0.686704603,0.484006447,0.773961391,0.80214597,1,0.02459
Bakersfield,CA,1600000US0603526,0.41097191,0.600150677,0.221793143,0.487943139,0.287641785,0.394198631,0.24077255,0.533542093,0.40828125,0,0.04918
Baltimore,MD,1600000US2404000,0.675759985,0.518484792,0.833035178,0.722738822,0.685769237,0.498351686,0.165456718,0.716780381,0.612817959,0,0.068306
Baton Rouge,LA,1600000US2205000,0.381194516,0.502346902,0.260042129,0.656441145,0.651747341,0.364241068,0.227587719,0.659260163,0.205875323,0,0.090164
Bayamon,PR,1600000US7206593,0.517982468,0.387772799,0.648192137,0.579277683,0.803732085,0.429483628,0.335648513,0.318900746,0.633901626,0,
Beaumont,TX,1600000US4807000,0.32847317,0.562107466,0.094838873,0.691870922,0.567655989,0.450047748,0.223412138,0.582689989,0.544041116,0,0.065574
Bellevue,WA,1600000US5305210,0.325173372,0.290300227,0.360046516,0.18889408,0.608293626,0.745513261,0.772656072,0.87214815,0.591735559,0,0.027322
Berkeley,CA,1600000US0606000,0.700977875,0.422593208,0.979362542,0.411053155,0.565866738,0.798836738,0.880018377,0.856989113,0.659502723,0,0.030055
Billings,MT,1600000US3006550,0.37730212,0.541368866,0.213235375,0.503615824,0.420878092,0.545349372,0.395532432,0.622329737,0.618185946,0,0.02459
Birmingham,AL,1600000US0107000,0.293867698,0.485674445,0.102060952,0.766907381,0.795558492,0.521546958,0.521627022,0.583001743,0.460012108,0,0.12842
Boise City,ID,1600000US1608830,0.353904772,0.469428477,0.238381066,0.350058226,0.411201271,0.608537142,0.766494748,0.691956962,0.367159716,0,0.054645
Boston,MA,1600000US2507000,0.676656327,0.357325239,0.995987415,0.504814008,0.790163531,0.690168244,0.41229717,0.807304436,0.850903126,0,0.062842
Bridgeport,CT,1600000US0908000,0.806101846,0.69217021,0.920033482,0.790994386,0.406653965,0.39784825,0.403533895,0.506605527,0.283405329,0,0.079235
Brownsville,TX,1600000US4810768,0.388563309,0.696785485,0.080341132,0.59955395,0.20598298,0.332297984,0.049999934,0.490213016,0.456681003,0,0.092896
Buffalo,NY,1600000US3611000,0.635166204,0.566231965,0.704100443,0.772680908,0.640216978,0.404346839,0.232178708,0.532530987,0.448330821,0,0.11475
Burbank,CA,1600000US0608954,0.595718871,0.522216621,0.66922112,0.421843913,0.377410671,0.21853906,0.101872943,0.478638837,0.0751054,0,0.032787
Burlington,VT,1600000US5010675,0.293669928,0.341144255,0.246195601,0.540813271,0.85852476,0.661313341,0.94909862,0.757202458,0.277638945,0,0.10929
Cambridge,MA,1600000US2511000,0.673788798,0.348136827,0.99944077,0.287303393,0.59102974,0.783737413,0.853471935,0.671305127,0.826435179,0,0.062842
Cape Coral,FL,1600000US1210275,0.319815423,0.539639912,0.099990934,0.352968816,0.273688993,0.387964362,0.338554998,0.56835618,0.256981908,0,0.12295
Carlsbad,CA,1600000US0611194,0.320837982,0.3768684,0.264807563,0.189178835,0.435442035,0.635383643,0.770786586,0.7716327,0.363731643,0,0.021858
Carolina,PR,1600000US7214290,0.501362391,0.387049957,0.615674825,0.554378298,0.780278385,0.432361557,0.302364877,0.379221184,0.615498609,0,
Carrollton,TX,1600000US4813024,0.404782544,0.477958185,0.331606904,0.147009557,0.191093188,0.541749472,0.548834314,0.484518628,0.591895475,2,0.090164
Cedar Rapids,IA,1600000US1912000,0.267277249,0.395630771,0.138923727,0.460448688,0.669187146,0.544497556,0.412750112,0.696003562,0.524738994,0,0.13388
Centennial,CO,1600000US0812815,0.375837227,0.38027159,0.371402865,0.140824214,0.380281035,0.587376686,0.598580621,0.830216104,0.333333333,0,0.12568
Chandler,AZ,1600000US0412000,0.409739814,0.428389811,0.391089817,0.16053471,0.303755088,0.63267146,0.457044344,0.698956097,0.74201394,0,0.079235
Charleston (SC),SC,1600000US4513330,0.149263264,0.225970616,0.072555913,0.336751887,0.884810655,0.504766871,0.324998655,0.759622891,0.429679067,0,0.10383
Charleston (WV),WV,1600000US5414600,0.214867313,0.314703944,0.115030682,0.548795331,0.919387443,0.444131606,0.359115575,0.668594078,0.304685165,0,0.10929
Charlotte,NC,1600000US3712000,0.313565522,0.392076146,0.235054899,0.312199415,0.528047123,0.551761846,0.42803133,0.784285085,0.442969123,0,0.10109
Chattanooga,TN,1600000US4714000,0.247666481,0.413199667,0.082133295,0.612170579,0.785771244,0.369471856,0.103003286,0.623045916,0.382366366,0,0.11749
Chesapeake,VA,1600000US5116000,0.170859996,0.305386102,0.036333891,0.260355296,0.649583092,0.535989126,0.364387687,0.658524233,0.585055458,0,0.079235
Cheyenne,WY,1600000US5613900,0.370818402,0.519786955,0.221849849,0.429775368,0.390201457,0.463950905,0.459156011,0.696976568,0.235720136,0,0.13934
Chicago,IL,1600000US1714000,0.819356697,0.651737671,0.986975722,0.559109191,0.255633849,0.493207904,0.230288277,0.731541361,0.517794072,3,0.12842
Chula Vista,CA,1600000US0613392,0.563463433,0.567474138,0.559452727,0.395716824,0.260768548,0.477071178,0.508738158,0.585630474,0.336844903,0,0.016393
Cincinnati,OH,1600000US3915000,0.406191288,0.434786416,0.37759616,0.69621392,0.826641088,0.620874961,0.501447105,0.621144073,0.740033705,0,0.16393
Clarksville,TN,1600000US4715160,0.265806493,0.425350578,0.106262409,0.396178312,0.545477156,0.451087427,0.160789353,0.648239702,0.544233226,0,0.20219
Clearwater,FL,1600000US1212875,0.501601354,0.584079161,0.419123547,0.576466825,0.408308503,0.412024034,0.561377134,0.491637224,0.183057744,0,0.15847
Cleveland,OH,1600000US3916000,0.577903927,0.61027664,0.545531215,0.822818416,0.602265137,0.416387163,0.411026186,0.477581348,0.360553955,0,0.13934
Colorado Springs,CO,1600000US0816000,0.350845723,0.509588673,0.192102773,0.375957386,0.356780041,0.398222508,0.392333682,0.740254016,0.062079825,0,0.10109
Columbia (MO),MO,1600000US2915670,0.193298365,0.243786016,0.142810714,0.29127913,0.803707098,0.534312801,0.472099865,0.692037831,0.438800708,0,0.13661
Columbia (SC),SC,1600000US4516000,0.172218751,0.282574908,0.061862594,0.444491957,0.879342141,0.614766429,0.451785621,0.744964034,0.647549632,0,0.081967
Columbus (GA),GA,1600000US1319000,0.261236033,0.466989526,0.05548254,0.58937538,0.655396328,0.387876371,0.027337809,0.674795121,0.461496183,0,0.084699
Columbus (OH),OH,1600000US3918000,0.417994568,0.464182944,0.371806191,0.457393615,0.529027726,0.593520549,0.451391887,0.69866475,0.630505011,0,0.11749
Concord,CA,1600000US0616000,0.532766492,0.634927695,0.430605289,0.562303954,0.292448565,0.47384472,0.437465143,0.705472752,0.278596265,0,0.038251
Coral Springs,FL,1600000US1214400,0.520742393,0.490139914,0.551344872,0.251237141,0.270957314,0.552996518,0.483179417,0.564220649,0.611589489,0,0.10383
Corona,CA,1600000US0616350,0.484931228,0.548132765,0.421729691,0.31404829,0.217782759,0.247623977,0.166477897,0.422490364,0.153903671,0,0.035519
Corpus Christi,TX,1600000US4817000,0.372576626,0.589546059,0.155607193,0.497198894,0.318106776,0.380992681,0.091024377,0.545976052,0.505977616,1,0.065574
Costa Mesa,CA,1600000US0616532,0.63046004,0.475163238,0.785756842,0.371329348,0.421002872,0.337248866,0.342266021,0.348544799,0.320935777,8,0.051913
Dallas,TX,1600000US4819000,0.430747277,0.551193431,0.310301122,0.50339863,0.401011767,0.418562885,0.165208232,0.557926157,0.532554267,1,0.030055
Daly City,CA,1600000US0617918,0.720746692,0.443795696,0.997697689,0.332798037,0.445206646,0.534114172,0.543201936,0.672480464,0.386660115,0,0.084699
Davenport,IA,1600000US1919000,0.292142454,0.467831988,0.11645292,0.54574721,0.610083234,0.460510809,0.17950081,0.64324023,0.558791386,4,0.14208
Dayton,OH,1600000US3921000,0.399784593,0.580153025,0.219416161,0.811767631,0.65146158,0.520573032,0.526062334,0.459924683,0.575732078,0,0.15847
Denton,TX,1600000US4819972,0.290905416,0.481802678,0.100008153,0.311553378,0.347948022,0.529783864,0.522000296,0.639698411,0.427652886,0,0.084699
Denver,CO,1600000US0820000,0.496574423,0.553279547,0.439869299,0.42104153,0.314482437,0.57001535,0.256022004,0.795634657,0.65838939,0,0.14754
Des Moines,IA,1600000US1921000,0.377642019,0.53440742,0.220876619,0.694845201,0.626030361,0.434047652,0.171011978,0.644539206,0.486591771,0,0.12022
Detroit,MI,1600000US2622000,0.655033918,0.769962805,0.540105031,0.888790427,0.348864816,0.451947239,0.303163312,0.511533708,0.541144698,8,0.16393
Downey,CA,1600000US0619766,0.720858221,0.526897217,0.914819225,0.400202991,0.346408557,0.341561524,0.172136184,0.276423756,0.576124632,0,0.035519
Durham,NC,1600000US3719000,0.266333891,0.340773934,0.191893848,0.369676868,0.688128999,0.710496937,0.721937216,0.814511786,0.59504181,0,0.095628
El Monte,CA,1600000US0622230,0.800345416,0.612085564,0.988605267,0.579274284,0.355103156,0.20909742,0.105065586,0.240591032,0.28163564,0,0.032787
El Paso,TX,1600000US4824000,0.449280709,0.667429541,0.231131877,0.493585174,0.158726092,0.43593257,0.050683911,0.566088058,0.691025742,0,0.084699
Elgin,IL,1600000US1723074,0.425155776,0.573889865,0.276421688,0.480708751,0.332929021,0.460864566,0.465558007,0.323603132,0.593432559,0,0.13115
Elizabeth,NJ,1600000US3421000,0.858334227,0.754563601,0.962104853,0.653469187,0.144341986,0.392272899,0.127569202,0.389842802,0.659406694,0,0.07377
Elk Grove,CA,1600000US0622020,0.385944454,0.38430074,0.387588168,0.217307697,0.448706217,0.460853311,0.248632883,0.742123988,0.391803063,0,0.032787
Escondido,CA,1600000US0622804,0.551034839,0.690880626,0.411189052,0.551116784,0.169355532,0.478647299,0.59711399,0.486276907,0.352551,0,0.021858
Eugene,OR,1600000US4123850,0.46883946,0.575834559,0.361844362,0.574263579,0.422594461,0.562209764,0.365720522,0.822739367,0.498169402,0,0.038251
Evansville,IN,1600000US1822000,0.386705512,0.530890056,0.242520968,0.685322797,0.623542685,0.406470672,0.416831416,0.567851651,0.23472895,1,0.14754
Everett,WA,1600000US5322640,0.370597508,0.467581067,0.273613948,0.617371364,0.68220923,0.445297637,0.383974564,0.695585553,0.256332794,0,0.035519
Fairfield,CA,1600000US0623182,0.402758836,0.536290032,0.269227639,0.403733402,0.331153337,0.360597343,0.230775023,0.566654022,0.284362985,0,0.040984
Fargo,ND,1600000US3825700,0.293186615,0.39288988,0.19348335,0.289909002,0.504129243,0.558682393,0.494112452,0.67724558,0.504689147,0,0.051913
Fayetteville,NC,1600000US3722920,0.254795056,0.41232841,0.097261701,0.456964824,0.632308004,0.576792742,0.433217339,0.716234212,0.580926674,0,0.10383
Fontana,CA,1600000US0624680,0.590955642,0.666243376,0.515667907,0.435968762,0.10348201,0.164831094,0.070294573,0.28399528,0.140203429,0,0.032787
Fort Collins,CO,1600000US0827425,0.351758357,0.452911489,0.250605225,0.258875369,0.353052392,0.620968316,0.783746864,0.821729785,0.257428299,0,0.15301
Fort Lauderdale,FL,1600000US1224000,0.549069053,0.59796461,0.500173497,0.647412226,0.451483007,0.558826124,0.491895161,0.504772464,0.679810747,0,0.14208
Fort Wayne,IN,1600000US1825000,0.39134095,0.584983972,0.197697927,0.544579828,0.374611884,0.519859446,0.331046476,0.598121842,0.630410019,0,0.15301
Fort Worth,TX,1600000US4827000,0.382041348,0.572513312,0.191569384,0.43508774,0.290061116,0.500303636,0.292921175,0.487187609,0.720802125,12,0.057377
Fremont,CA,1600000US0626000,0.326409631,0.380751429,0.272067834,0.16938577,0.407882913,0.61544201,0.639961553,0.887348986,0.319015491,0,0.032787
Fresno,CA,1600000US0627000,0.619291667,0.753254013,0.485329321,0.729350772,0.222842746,0.40195897,0.128853592,0.556687625,0.520335693,0,0.035519
Frisco,TX,1600000US4827684,0.268061002,0.353337628,0.182784376,0.115230022,0.408554766,0.730572764,0.845096094,0.742426544,0.604195654,0,0.065574
Fullerton,CA,1600000US0628000,0.635210195,0.580355047,0.690065342,0.381732263,0.221022169,0.424138935,0.56826586,0.390882806,0.313268139,0,0.035519
Gainesville,FL,1600000US1225175,0.196573315,0.231882087,0.161264543,0.298139506,0.834375332,0.434745583,0.57750324,0.677889887,0.048843622,0,0.098361
Garden Grove,CA,1600000US0629000,0.803884508,0.664178769,0.943590247,0.475009082,0.146651545,0.30068269,0.377245888,0.228932557,0.295869625,0,0.032787
Garland,TX,1600000US4829000,0.545363584,0.671544597,0.419182571,0.488238939,0.145149744,0.32816299,0.410736002,0.370497245,0.203255724,6,0.054645
Glendale (AZ),AZ,1600000US0427820,0.513191879,0.631066459,0.395317299,0.453899145,0.191766226,0.497941398,0.47783803,0.555007098,0.460979065,0,0.076503
Glendale (CA),CA,1600000US0630000,0.639088104,0.562654088,0.71552212,0.507089239,0.381781063,0.269990035,0.10284911,0.441499542,0.265621454,0,0.030055
Grand Prairie,TX,1600000US4830464,0.364726311,0.541036595,0.188416026,0.316488876,0.234415686,0.315298461,0.325181989,0.367846572,0.252866823,0,0.040984
Grand Rapids,MI,1600000US2634000,0.508826931,0.573667683,0.44398618,0.755824838,0.608489472,0.608546233,0.540795301,0.569444811,0.715398588,0,0.16667
Green Bay,WI,1600000US5531000,0.325715569,0.462769073,0.188662064,0.626778717,0.70124057,0.501643535,0.454846551,0.557886878,0.492197176,0,0.12568
Greensboro,NC,1600000US3728000,0.282764656,0.390799389,0.174729924,0.379244689,0.597645911,0.674690774,0.526290446,0.755761773,0.742020102,0,0.07377
Gresham,OR,1600000US4131250,0.580311079,0.666136818,0.49448534,0.72301382,0.390740184,0.560590864,0.312575812,0.765684254,0.603512526,0,0.035519
Hampton,VA,1600000US5135000,0.358909447,0.488954122,0.228864772,0.570666061,0.592757817,0.382084315,0.10744283,0.473225023,0.56558509,0,0.079235
Hartford,CT,1600000US0937000,0.671014922,0.57509588,0.766933964,0.838584497,0.688392736,0.439478692,0.477098162,0.434016896,0.407321017,0,0.10656
Hayward,CA,1600000US0633000,0.466529155,0.601805873,0.331252436,0.494408638,0.290796892,0.543276469,0.6088606,0.647871804,0.373097003,0,0.016393
Henderson,NV,1600000US3231900,0.342411012,0.463783486,0.221038537,0.208917602,0.28135063,0.57268278,0.318212412,0.813035513,0.586800415,1,0.087432
Hialeah,FL,1600000US1230000,0.856018456,0.764274552,0.947762359,0.734301683,0.205752578,0.282089943,0.11866825,0.411741146,0.315860434,0,0.12022
High Point,NC,1600000US3731400,0.32464656,0.493396503,0.155896618,0.515212807,0.528419801,0.568322353,0.370360886,0.6851627,0.649443472,0,0.084699
Hollywood,FL,1600000US1232000,0.556969047,0.586278898,0.527659196,0.623669106,0.45111131,0.37736684,0.365834975,0.496505863,0.269759683,0,0.14481
Honolulu,HI,1600000US1571550,0.469400244,0.359448227,0.57935226,0.462305135,0.743408682,0.416499671,0.082830147,0.845034673,0.321634192,0,
Houston,TX,1600000US4835000,0.440784736,0.542921696,0.338647775,0.487883745,0.402040352,0.532211565,0.377928067,0.59216993,0.626536699,0,0.062842
Huntington Beach,CA,1600000US0636000,0.651489436,0.513726297,0.789252574,0.325087149,0.297634554,0.539217591,0.562284129,0.519937182,0.535431463,0,0.051913
Huntsville,AL,1600000US0137000,0.228999418,0.403981779,0.054017057,0.457239574,0.649276016,0.552900799,0.598457739,0.579283892,0.480960766,3,0.10383
Independence,MO,1600000US2935000,0.364292659,0.618508107,0.110077212,0.629415266,0.392399053,0.39149325,0.207994357,0.662141541,0.304343852,0,0.12842
Indianapolis,IN,1600000US1836003,0.386618151,0.579051065,0.194185236,0.614368213,0.456266083,0.514230256,0.273608648,0.699161914,0.569920205,0,0.18852
Inglewood,CA,1600000US0636546,0.882792882,0.774863829,0.990721934,0.692335285,0.142607626,0.283695944,0.120456708,0.253773354,0.476857768,0,0.051913
Irvine,CA,1600000US0636770,0.359009513,0.364582643,0.353436382,0.082634506,0.35346922,0.381780673,0.481709801,0.587151623,0.076480594,0,0.032787
Irving,TX,1600000US4837000,0.451839163,0.580901215,0.322777112,0.33725698,0.17545455,0.367307882,0.116861266,0.40564102,0.579421359,6,0.07377
Jackson,MS,1600000US2836000,0.289028957,0.466875284,0.111182631,0.700672868,0.7669223,0.48514008,0.413606531,0.621439469,0.42037424,0,0.12022
Jacksonville,FL,1600000US1235000,0.258765524,0.453446324,0.064084723,0.500597685,0.593705037,0.456647484,0.392626338,0.694954744,0.28236137,0,0.092896
Jersey City,NJ,1600000US3436000,0.800583348,0.601208321,0.999958375,0.419057256,0.216640614,0.462040644,0.091209232,0.707793981,0.58711872,0,0.07377
Joliet,IL,1600000US1738570,0.377748977,0.553665315,0.201832639,0.480520504,0.373189874,0.429560362,0.531432974,0.453431438,0.303816675,0,0.13388
Kansas City (KS),KS,1600000US2036000,0.360021302,0.641676733,0.07836587,0.759129441,0.475775974,0.314061111,0.377147551,0.498178239,0.066857544,0,0.13388
Kansas City (MO),MO,1600000US2938000,0.306866786,0.506662317,0.107071255,0.551632471,0.538307837,0.599923666,0.41517912,0.644128232,0.740463645,1,0.13661
Kent,WA,1600000US5335415,0.48456224,0.533847458,0.435277022,0.469765974,0.402071058,0.703088706,0.816324272,0.725844731,0.567097114,0,0.02459
Killeen,TX,1600000US4839148,0.359700991,0.504097814,0.215304167,0.350695424,0.342499795,0.311354369,0.152896508,0.474913741,0.306252858,0,0.021858
Knoxville,TN,1600000US4740000,0.267461519,0.399194463,0.135728575,0.603350359,0.804961432,0.538188501,0.585467403,0.584720309,0.44437779,0,0.10383
Lafayette,LA,1600000US2240735,0.301431988,0.386636675,0.216227301,0.424902274,0.651628924,0.303475449,0.33346471,0.561616041,0.015345597,1,0.10383
Lakewood,CO,1600000US0843000,0.446340973,0.565999588,0.326682358,0.436132556,0.30413338,0.572383802,0.685940025,0.721276704,0.309934677,0,0.14208
Lancaster,CA,1600000US0640130,0.350108527,0.571903195,0.128313858,0.408336592,0.264530202,0.246175526,0.113599903,0.360373246,0.26455343,0,0.046448
Lansing,MI,1600000US2646000,0.401292581,0.507825665,0.294759498,0.735249991,0.719598661,0.530031413,0.531788898,0.625166003,0.433139339,0,0.16393
Laredo,TX,1600000US4841464,0.479661573,0.721513174,0.237809973,0.551300339,0.108273991,0.363225293,0.018305034,0.491765828,0.579605018,0,0.07377
Las Vegas,NV,1600000US3240000,0.561031233,0.649529972,0.472532494,0.46130593,0.162245986,0.50905944,0.175986714,0.654774745,0.696416861,2,0.10929
Lexington-Fayette,KY,1600000US2146027,0.224793276,0.378332425,0.071254127,0.361919558,0.605254708,0.419149155,0.282335327,0.721115087,0.25399705,0,0.14208
Lincoln,NE,1600000US3128000,0.377655259,0.476713106,0.278597413,0.37724366,0.423817448,0.457115163,0.135642836,0.683275637,0.552427016,0,0.060109
Little Rock,AR,1600000US0541000,0.204280511,0.286496097,0.122064925,0.414407018,0.841414823,0.493415285,0.189415458,0.639448087,0.651382311,0,0.1612
Long Beach,CA,1600000US0643000,0.788237273,0.65447046,0.922004086,0.534184568,0.225243648,0.372098913,0.143223048,0.514451968,0.458621724,0,0.051913
