City,State,Geo.ID,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Abilene,TX,1600000US4801000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,OH,1600000US3901000,6,0,0,0,1,0,1,6343523,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22269,0,0,0,0,0,0,0,0
Albuquerque,NM,1600000US3502000,34,2,0,2,2,0,2,1832453,3,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,1600000US5101000,5,0,0,0,0,0,0,50000,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Allentown,PA,1600000US4202000,8,0,0,0,0,0,0,100000,16,3,0,3,2,0,2,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amarillo,TX,1600000US4803000,60,0,0,0,0,0,0,453322,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaheim,CA,1600000US0602000,4,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,AK,1600000US0203000,3,0,0,0,0,0,0,3590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ann Arbor,MI,1600000US2603000,1,0,0,0,0,0,0,0,5,11,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioch,CA,1600000US0602252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,TX,1600000US4804000,8,0,0,0,0,0,0,87000,5,39,0,39,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvada,CO,1600000US0803455,1,0,0,0,0,0,0,2176071,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta,GA,1600000US1304000,19,0,0,0,0,0,0,1005342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,CO,1600000US0804000,8,0,0,0,0,0,0,4826242,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,IL,1600000US1703012,7,0,0,0,0,0,0,4829774,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,TX,1600000US4805000,80,0,0,0,10,0,10,111904886,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,CA,1600000US0603526,15,0,0,0,0,0,0,10435130,4,0,1,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore,MD,1600000US2404000,61,0,0,0,0,0,0,10000,30,0,1,1,10,1,11,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10000
Baton Rouge,LA,1600000US2205000,8,0,0,0,3,0,3,261175242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayamon,PR,1600000US7206593,17,0,0,0,0,0,0,24999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beaumont,TX,1600000US4807000,19,0,0,0,0,0,0,129599,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44879,4,0,0,0,0,0,0,0
Bellevue,WA,1600000US5305210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,CA,1600000US0606000,2,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billings,MT,1600000US3006550,4,0,0,0,0,0,0,1976671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham,AL,1600000US0107000,21,0,0,0,0,0,0,24400,6,0,0,0,1,0,1,13223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise City,ID,1600000US1608830,4,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston ,MA,1600000US2507000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2176012
Bridgeport,CT,1600000US0908000,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Brownsville,TX,1600000US4810768,24,0,0,0,0,0,0,1851154,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,849901,0,0,0,0,0,0,0,0
Buffalo,NY,1600000US3611000,4,0,0,0,0,0,0,22396,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbank,CA,1600000US0608954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlington,VT,1600000US5010675,7,0,0,0,0,0,0,383732,2,0,0,0,0,0,0,9346,4,0,0,0,0,0,0,10281,3,0,0,0,0,0,0,186919
Cambridge,MA,1600000US2511000,3,0,0,0,0,0,0,6072386,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Coral,FL,1600000US1210275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,CA,1600000US0611194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Carolina,PR,1600000US7214290,35,0,0,0,1,0,1,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carrollton,TX,1600000US4813024,7,0,0,0,0,0,0,721948,13,19,0,19,1,0,1,0,3,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0
Cedar Rapids,IA,1600000US1912000,20,1,0,1,1,0,1,415213,2,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Centennial,CO,1600000US0812815,4,0,0,0,0,0,0,29019,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler,AZ,1600000US0412000,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3276234,0,0,0,0,0,0,0,0
Charleston,SC,1600000US4513330,76,0,0,0,0,0,0,7647152,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
Charleston,WV,1600000US5414600,10,0,0,0,0,0,0,7792943,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,310753,0,0,0,0,0,0,0,0
Charlotte,NC,1600000US3712000,39,0,0,0,0,0,0,2539329,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,TN,1600000US4714000,15,0,0,0,0,0,0,91117,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chesapeake,VA,1600000US5116000,27,0,0,0,0,0,0,21525000,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,285000
Cheyenne,WY,1600000US5613900,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,IL,1600000US1714000,33,0,0,0,1,0,1,107084187,15,0,8,8,29,1,30,184829,51,0,0,0,45,0,45,0,1,0,0,0,0,0,0,300000
Chula Vista,CA,1600000US0613392,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Cincinnati,OH,1600000US3915000,29,0,0,0,0,0,0,2003472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,TN,1600000US4715160,7,0,0,0,1,0,1,1291314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearwater,FL,1600000US1212875,3,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,OH,1600000US3916000,9,0,0,0,0,0,0,686431,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,34037,0,0,0,0,0,0,0,0
Colorado Springs,CO,1600000US0816000,47,0,0,0,0,0,0,6773546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,MO,1600000US2915670,5,0,0,0,0,0,0,11185247,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,SC,1600000US4516000,100,21,0,21,1,0,1,12935716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,GA,1600000US1319000,5,0,0,0,0,0,0,159762,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,OH,1600000US3918000,25,0,0,0,0,0,0,164472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concord,CA,1600000US0616000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Springs,FL,1600000US1214400,2,0,0,0,0,0,0,139126,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3536,0,0,0,0,0,0,0,0
Corona,CA,1600000US0616350,1,0,0,0,0,0,0,6834,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corpus Christi,TX,1600000US4817000,49,0,0,0,1,0,1,4223367,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9346
Costa Mesa,CA,1600000US0616532,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Dallas,TX,1600000US4819000,35,0,1,1,3,3,6,18671205,13,7,0,7,6,0,6,0,3,0,0,0,3,0,3,15290,0,0,0,0,0,0,0,0
Daly City,CA,1600000US0617918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Davenport ,IA,1600000US1919000,0,0,0,0,0,0,0,0,2,8,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton ,OH,1600000US3921000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denton,TX,1600000US4819972,7,0,0,0,1,0,1,45956,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denver,CO,1600000US0820000,17,0,1,1,0,0,0,1051137,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des Moines,IA,1600000US1921000,106,0,0,0,0,0,0,7534095,3,0,0,0,0,1,1,18868,6,0,0,0,0,0,0,209644,0,0,0,0,0,0,0,0
Detroit,MI,1600000US2622000,13,0,0,0,0,0,0,62401672,6,46,0,46,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Downey,CA,1600000US0619766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham,NC,1600000US3719000,18,0,0,0,0,0,0,161477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Monte,CA,1600000US0622230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso,TX,1600000US4824000,34,1,0,1,1,0,1,2345902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1725816,0,0,0,0,0,0,0,0
Elgin,IL,1600000US1723074,5,0,0,0,0,0,0,22559,15,0,0,0,0,0,0,5158,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Elizabeth,NJ,1600000US3421000,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Elk Grove,CA,1600000US0622020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escondido,CA,1600000US0622804,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugene,OR,1600000US4123850,1,0,0,0,0,0,0,27366,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansville,IN,1600000US1822000,36,1,0,1,1,0,1,638354,25,14,0,14,3,0,3,0,15,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0
Everett,WA,1600000US5322640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18274
Fairfield,CA,1600000US0623182,1,0,0,0,0,0,0,497898,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,ND,1600000US3825700,6,0,0,0,0,0,0,77539,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayetteville,NC,1600000US3722920,9,0,0,0,2,2,4,18006731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fontana,CA,1600000US0624680,4,0,0,0,0,0,0,50065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Collins,CO,1600000US0827425,2,0,0,0,0,0,0,30015776,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Lauderdale,FL,1600000US1224000,2,0,0,0,0,0,0,1175979,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1703,11,0,0,0,0,0,0,0
Fort Wayne,IN,1600000US1825000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Worth,TX,1600000US4827000,38,0,5,5,1,2,3,3051563,7,79,0,79,2,1,3,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Fremont,CA,1600000US0626000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,CA,1600000US0627000,17,0,0,0,0,1,1,41738,4,0,0,0,0,0,0,0,69,0,0,0,0,0,0,7264301,0,0,0,0,0,0,0,0
Frisco,TX,1600000US4827684,7,0,0,0,0,0,0,12673,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullerton,CA,1600000US0628000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gainesville,FL,1600000US1225175,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Grove,CA,1600000US0629000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garland,TX,1600000US4829000,5,0,0,0,0,0,0,2272193,12,65,0,65,2,0,2,0,3,0,0,0,0,0,0,2513,0,0,0,0,0,0,0,0
Glendale,AZ,1600000US0427820,5,0,0,0,0,0,0,57,12,0,0,0,1,0,1,0,8,0,0,0,0,0,0,3046452,0,0,0,0,0,0,0,0
Glendale,CA,1600000US0630000,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Prairie,TX,1600000US4830464,16,0,0,0,0,0,0,146273,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2346,0,0,0,0,0,0,0,0
Grand Rapids,MI,1600000US2634000,4,0,0,0,0,0,0,122722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Bay,WI,1600000US5531000,5,0,0,0,0,0,0,158000,2,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Greensboro,NC,1600000US3728000,26,0,0,0,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gresham,OR,1600000US4131250,4,0,0,0,0,0,0,846456,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampton,VA,1600000US5135000,28,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1795
Hartford,CT,1600000US0937000,3,0,0,0,0,0,0,13011,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayward,CA,1600000US0633000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,NV,1600000US3231900,13,0,0,0,1,0,1,148563,64,38,0,38,5,2,7,1427,10,0,0,0,0,0,0,490753,0,0,0,0,0,0,0,0
Hialeah,FL,1600000US1230000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
High Point,NC,1600000US3731400,5,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollywood,FL,1600000US1232000,3,0,0,0,0,0,0,440,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2316,11,0,0,0,0,0,0,0
Honolulu,HI,1600000US1571550,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,TX,1600000US4835000,44,0,0,0,10,1,11,4187688,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington Beach,CA,1600000US0636000,1,0,0,0,0,0,0,236011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Huntsville,AL,1600000US0137000,37,0,0,0,0,0,0,44432,31,33,49,82,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,MO,1600000US2935000,4,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,IN,1600000US1836003,46,0,0,0,0,0,0,392011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglewood,CA,1600000US0636546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irvine,CA,1600000US0636770,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Irving,TX,1600000US4837000,14,0,0,0,0,0,0,6185647,12,66,0,66,2,0,2,0,3,0,0,0,0,0,0,2994,0,0,0,0,0,0,0,0
Jackson,MS,1600000US2836000,48,0,0,0,0,0,0,984312,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,387126,0,0,0,0,0,0,0,0
Jacksonville,FL,1600000US1235000,94,0,0,0,0,0,0,1650137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Jersey City,NJ,1600000US3436000,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Joliet,IL,1600000US1738570,4,0,0,0,0,0,0,232851,4,0,0,0,1,0,1,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Kansas City,KS,1600000US2036000,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City,MO,1600000US2938000,37,0,0,0,0,0,0,25000,6,0,0,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,WA,1600000US5335415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24280
Killeen,TX,1600000US4839148,9,0,0,0,1,0,1,324659,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,TN,1600000US4740000,7,0,0,0,0,0,0,1998000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,LA,1600000US2240735,12,0,0,0,0,0,0,384432822,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1826,0,0,0,0,0,0,0,0
Lakewood,CO,1600000US0843000,1,0,0,0,0,0,0,3034115,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster,CA,1600000US0640130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,MI,1600000US2646000,4,0,0,0,0,0,0,1980866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laredo,TX,1600000US4841464,25,0,0,0,0,0,0,2981875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Vegas,NV,1600000US3240000,30,1,74,75,1,2,3,5645957,63,55,0,55,66,20,86,2302,10,0,0,0,6,1,7,791744,0,0,0,0,0,0,0,0
Lexington-Fayette,KY,1600000US2146027,15,0,0,0,0,0,0,53000,1,0,0,0,0,0,0,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
