City,State,Geo.ID,Geo.ID City,No Access To Vehicle,People With Disabilities,Mobile Homes,Housing Instability,Elderly Living Alone,Linguistic Isolation,No Health Insurance,Single Mothers,Buildings Built Before 1979,Buildings Built Before 1999,Population in High Risk Flood Zones,Impervious Surfaces,Tree Canopy,Median Household Income,Population,White,Black,Native,Asian,Hispanic
Atlanta,GA,14000US13089021504,1600000US1304000,33.79928315,8.504746835,0,39.16464891,12.93512658,0,2.7,0.514240503,29.37479325,83.95633477,1,24.39455414,60.64390182,55580,5056,74.960443,9.7903481,0,13.2713608,0.038568038
Atlanta,GA,14000US13121006700,1600000US1304000,43.02963776,19.94119219,0.95911156,36.58256881,24.39696761,0.413507926,21.5,24.39696884,44.72488642,61.93841494,379,38.21291351,38.65060043,20369,3741,9.1419407,88.1849773,0,0.2673082,0.017642342
Atlanta,GA,14000US13121009300,1600000US1304000,36.76273458,4.916273079,0,20.92485549,8.753773178,0,3.5,7.287623882,69.1991018,96.48203593,401,22.0864296,59.78409958,92775,4658,89.9098325,8.3941606,0.3220266,0.923143,0.079218549
Atlanta,GA,14000US13121009402,1600000US1304000,39.71278652,1.891676623,0,19.57408246,0.778050778,6.429156429,19.2,3.808353901,11.83659218,34.4972067,260,66.08597565,17.39749908,62868,5022,67.5228992,16.8458781,0,7.745918,0.270410195
Atlanta,GA,14000US13089021502,1600000US1304000,43.41142021,8.948057617,0,26.96897375,4.587155963,2.074192262,6.2,2.393298864,48.81645324,88.20333721,0,27.19426918,55.78889847,60446,4582,73.0467045,14.9061545,0.6547359,4.1684854,0.066128328
Atlanta,GA,14000US13089022401,1600000US1304000,36.50592217,3.752535497,0,24.17695473,3.378719112,0.605143722,5.1,7.9677248,48.52125693,69.03881701,1,13.3183794,67.30719757,73977,3944,86.3336714,8.1643002,0,3.0679513,0.013691684
Atlanta,GA,14000US13089022403,1600000US1304000,8.565072303,5.792377131,0.495970242,2.040816327,8.768406961,0.535475234,1.8,4.149933338,81.02913825,91.38251705,0,8.714232445,71.94239807,134737,3988,93.7562688,1.328987,0,4.338014,0.020561685
Atlanta,GA,14000US13089023700,1600000US1304000,27.34307825,17.85839467,0,43.01327088,13.80715256,1.222272522,21.8,24.21910095,64.98277842,74.01454267,18,22.71358871,54.4817009,30477,5706,17.0697511,78.9169295,0.5783386,0.3855591,0.032071504
Atlanta,GA,14000US13089022700,1600000US1304000,23.69995398,9.311740891,1.318944844,18.93095768,9.471649485,0.579896907,3.5,17.07473946,79.97601918,87.6498801,3,21.01157188,54.52560043,90833,4446,71.7049033,21.9523167,0.8097166,1.7993702,0.032163743
Atlanta,GA,14000US13121000500,1600000US1304000,36.16497384,3.655638823,0,14.66049383,1.168679392,0.584339696,14.4,2.765874863,31.97004608,59.07258065,142,42.94854355,34.88359833,89196,5471,68.835679,16.285871,0.0365564,13.3613599,0.032535186
Atlanta,GA,14000US13121010002,1600000US1304000,20.06025609,4.184100418,0,22.03913491,16.86028257,0,0.9,0.847723722,28.83156297,59.38290339,276,16.1390934,61.97489929,150599,7409,87.4207045,4.1436091,0.2969362,4.5755163,0.042245917
Atlanta,GA,14000US13121010001,1600000US1304000,39.53048088,4.440497336,0,29.96515679,9.550806803,0.61055386,3.3,3.052768946,40.4206501,70.93690249,217,27.41613388,57.51399994,109327,4504,84.7912966,4.151865,0,9.7912966,0.018206039
Atlanta,GA,14000US13121009802,1600000US1304000,26.69660679,3.902765388,0.658204043,17.26804124,9.30350788,0,3.1,4.067106724,38.31687823,90.45604137,393,10.09502316,73.05259705,157837,4484,84.0767172,4.4603033,0,10.1694915,0.028545941
Atlanta,GA,14000US13121009700,1600000US1304000,7.719505009,5.302064746,0,0,8.071428571,0,1.2,4.642857075,46.65849172,87.92152054,609,9.104662895,73.45279694,178438,3923,93.04104,3.772623,0,2.5745603,0.024980882
Atlanta,GA,14000US13121010304,1600000US1304000,15.55313648,8.207694307,0,15.79651941,3.715705336,0,13.8,17.23913956,15.4677673,29.69732704,0,8.884540558,63.21089935,85020,15388,3.8016636,93.4689368,0,0.1884585,0.020600468
Atlanta,GA,14000US13121007100,1600000US1304000,49.93548387,19.56414066,2.129719264,50.11876485,9.142053446,0,21.4,34.0365715,76.57308809,84.4143272,145,35.88476944,41.71630096,20810,2019,0.8915305,98.8608222,0,0,0.008915305
Atlanta,GA,14000US13121007200,1600000US1304000,54.02504472,20.50271069,0,47.34042553,10.1010101,0,19.4,34.34342957,64.50381679,72.04198473,76,28.0793457,58.62250137,22332,2029,1.084278,92.7550517,0,5.174963,0.007392804
Atlanta,GA,14000US13121007300,1600000US1304000,48.9465154,16.53672032,0.541228908,30.72841293,4.352637403,0,33.1,40.31723022,60.36294174,77.45940783,1035,21.39086533,56.36159897,22329,7952,1.7479879,95.8752515,0,0,0.00666499
Atlanta,GA,14000US13121009101,1600000US1304000,43.62394275,7.847435335,1.265077964,14.45783133,11.60648489,0,8,4.347826004,46.16063548,62.90085319,1258,31.81541634,43.08060074,71145,4562,75.6028058,16.7251206,0,5.8526962,0.00416484
Atlanta,GA,14000US13121008904,1600000US1304000,34.42136499,4.571303587,0,17.75804661,16.34453782,0.630252101,10,9.075630188,70.14285714,93.21428571,865,24.53540993,56.49710083,73894,4572,76.6622922,13.1671041,0,9.0113736,0.060586177
Atlanta,GA,14000US13121009000,1600000US1304000,19.89429974,3.920776071,0.386660222,12.39669421,2.950310559,0,2,4.917183876,51.71580474,82.02029966,480,16.40458679,63.89070129,101818,4948,84.1552142,6.0226354,0,5.5982215,0.054163298
Atlanta,GA,14000US13121007002,1600000US1304000,58.04289544,19.06779661,2.121212121,41.81117534,3.558282209,0.858895706,32.3,36.80981827,62.34848485,73.93939394,284,30.52133751,43.91260147,26329,1888,6.5677966,88.8241525,0,0,0.089512712
Atlanta,GA,14000US13121009900,1600000US1304000,30.83230832,2.202181208,0,7.266435986,9.031657356,0.791433892,2.9,1.256983042,47.88445891,88.03905614,534,10.66935444,69.32430267,112589,4768,93.4354027,0.9647651,0,5.5998322,0.014681208
Atlanta,GA,14000US13121010303,1600000US1304000,29.30797434,8.299978934,0,18.22393822,9.098786828,0.953206239,10.5,20.53726006,22.4494765,49.84173363,26,25.21369362,55.22439957,56698,9494,0.7267748,98.2620602,0.2317253,0,0.004950495
Atlanta,GA,14000US13121000200,1600000US1304000,24.00206026,5.001592864,0,15.56550952,7.555555556,0,3.3,2.461538076,74.82587065,90.67993366,89,26.29268265,54.75019836,100985,6278,91.510035,4.7785919,0.223001,2.1981523,0.040299458
Atlanta,GA,14000US13121000400,1600000US1304000,52.55555556,6.407035176,0,11.25401929,6.027060271,0,3.6,1.968019962,72.95154185,90.83700441,75,32.73778915,34.18560028,102560,1592,88.3165829,7.7889447,1.8844221,1.3190955,0.025753769
Atlanta,GA,14000US13121000100,1600000US1304000,19.29402327,4.258064516,0.684931507,7.36196319,3.573362209,0.757985923,4.4,6.226313114,82.14285714,93.15068493,399,17.06880951,64.06529999,139487,4650,95.9354839,1.0537634,0.0215054,1.9784946,0.040215054
Atlanta,GA,14000US13121010206,1600000US1304000,10.70472792,5.209125475,0.622148486,10.1010101,10.49149338,0,0.6,4.017013073,30.07051016,72.66694318,16,9.861194611,74.9693985,168214,5260,89.7718631,2.6806084,0,4.3346008,0.045057034
Atlanta,GA,14000US13089023803,1600000US1304000,22.88176161,15.33834586,0,36.85344828,9.595119246,0.499168053,14.6,18.58014107,73.2718894,91.84331797,0,16.53073883,61.77429962,39766,5320,15.2631579,79.1165414,0,0.1879699,0.057330827
Atlanta,GA,14000US13089023801,1600000US1304000,26.14749871,10.15341702,3.93442623,9.010989011,8.274894811,3.50631136,21.7,10.93968964,66.61202186,72.89617486,1,14.35556889,63.35070038,52717,3585,30.376569,66.6945607,0.195258,0.7252441,0.041283124
Atlanta,GA,14000US13121007705,1600000US1304000,32.63417643,17.64588727,0.502972108,31.55436958,26.47975078,1.609553479,19.6,29.59501076,55.2354824,83.49336991,152,32.20417023,50.17210007,21949,5021,1.5534754,97.5502888,0.2987453,0.4182434,0.012148974
Atlanta,GA,14000US13121009601,1600000US1304000,33.64108482,3.930492346,0,16.73414305,2.423768569,0,4.9,4.378419876,28.86850153,61.71253823,51,52.39407349,33.90140152,93906,2417,85.1055027,5.0889532,0,6.4129086,0.036822507
Atlanta,GA,14000US13121009801,1600000US1304000,7.796810396,8.726752504,0,9.297052154,23.94736842,0,1.8,1.736841917,52.27488152,83.6492891,264,14.1575861,71.53579712,126447,4893,94.3797261,1.2262416,0,2.5137952,0.008379317
Atlanta,GA,14000US13089023601,1600000US1304000,32.81036835,15.75386598,0,33.52112676,6.91588785,0,16.6,13.08411026,77.45803357,86.2509992,1,20.12192726,59.03210068,58222,3104,29.9935567,67.6224227,0.0322165,0.5476804,0.015141753
Atlanta,GA,14000US13089021102,1600000US1304000,38.55746545,7.719826775,0,12.71375465,9.355199404,0,7,4.360790253,12.60293591,81.91908342,0,28.21822739,47.2806015,80097,5311,78.9493504,11.5797402,0,6.4018076,0.042929768
Atlanta,GA,14000US13089021415,1600000US1304000,23.9447429,3.590234562,1.289629232,17.04805492,4.945992041,7.674815236,15.1,4.491188049,25.79258463,76.89414293,0,35.95726776,46.43080139,85931,4178,73.1929153,8.9277166,0.6462422,6.270943,0.183341312
Atlanta,GA,14000US13121010800,1600000US1304000,35.29792746,14.30290269,0,21.23786408,8.851952068,10.74603788,26.3,19.67529869,65.01820388,73.05825243,0,47.54352188,34.81510162,41670,6649,41.6002406,42.5627914,0,0.9625508,0.241991277
Atlanta,GA,14000US13121009102,1600000US1304000,39.02214022,3.296364757,1.723430447,16.00318471,4.659882164,0.964113551,17.7,1.285485029,40.66475174,59.74558884,598,37.21137619,46.2018013,42247,3246,66.5126309,23.4134319,0,8.8416513,0.047751078
Atlanta,GA,14000US13089020802,1600000US1304000,28.53598015,11.29903688,1.76565008,28.59477124,12.31707317,0,8.7,22.68292999,64.74050294,76.45799893,75,19.72140312,54.30339813,51944,4257,36.9274137,57.9281184,0,3.3121917,0.052854123
Atlanta,GA,14000US13121008903,1600000US1304000,27.3531778,9.204275534,8.049535604,14.98470948,0.9375,10.46875,19.7,12.5,36.32610939,48.60681115,170,40.86692429,35.87250137,62667,1684,66.6864608,21.7339667,0,4.8099762,0.427553444
Atlanta,GA,14000US13121980000,1600000US1304000,0,0,0,0,0,0,100,0,0,0,0,71.16424561,7.123799801,0,0,0,0,0,0,0
Atlanta,GA,14000US13121007603,1600000US1304000,55.89706934,18.05094131,1.19760479,53.17333333,23.04261645,3.171456888,25,25.61942863,77.08582834,88.74251497,95,32.33931732,36.67919922,13251,4515,2.9014396,94.9723145,0,0.6644518,0.009966777
Atlanta,GA,14000US13121007604,1600000US1304000,56.30936228,18.27541828,0,54.06824147,6.352683461,0,35.7,37.78750992,73.74100719,85.61151079,260,25.80564499,58.18889999,13674,2331,0,99.6567997,0,0,0
Atlanta,GA,14000US13121007703,1600000US1304000,28.27895074,15.05298651,0,16.22516556,13.742495,0,19.8,20.14676094,76.2979684,90.40632054,179,17.79411697,62.2378006,43531,4152,0,99.7350674,0,0,0
Atlanta,GA,14000US13121007704,1600000US1304000,30.5738064,12.67632123,0,41.29032258,5.711318795,2.180685358,26.2,28.81620026,64.39530686,71.25451264,402,13.96401787,69.72730255,33750,5317,5.0028211,92.2888847,0,0,0.062629302
Atlanta,GA,14000US13121007706,1600000US1304000,42.82505615,21.78082192,0,26.87957419,14.12110811,1.81417014,14.1,30.1299305,33.92006627,39.22137088,545,13.8046627,60.46789932,40220,9490,2.3287671,96.1327713,1.2223393,0.3161222,0.01317176
Atlanta,GA,14000US13121011306,1600000US1304000,23.09885932,16.74876847,0.501432665,31.28390597,4.610318332,1.097694841,17.4,18.3314991,66.83381089,85.24355301,1,24.06757736,57.00849915,37102,2436,4.8440066,91.543514,0,1.0262726,0.040229885
Atlanta,GA,14000US13121009501,1600000US1304000,15.07479862,6.852925672,0,28.82352941,13.95490555,0,2.3,1.035953999,56.63841808,90.86629002,137,9.638442039,74.63970184,155568,3794,97.2588297,1.3442277,0,0.8170796,0.003953611
Atlanta,GA,14000US13089020700,1600000US1304000,27.02702703,15.76837416,1.122625216,24.88262911,5.119825708,0,10.6,12.85403061,80.74265976,90.75993092,51,29.71977234,50.22290039,50833,2245,51.0467706,44.4097996,0,0.9799555,0.013363029
Atlanta,GA,14000US13121008902,1600000US1304000,43.8973503,4.63515374,1.025891549,23.03078768,3.300600109,1.745771959,12.8,2.373158932,32.0468979,56.00879336,157,53.60693741,28.8927002,54497,6537,60.0734282,26.5106318,0.5048187,9.3926878,0.068532966
Atlanta,GA,14000US13067031212,1600000US1304000,6.12244898,4.240710824,0,0,7.128712871,0,9.8,5.445544243,38.38095238,81.61904762,0,10.3833437,62.01779938,121354,2476,92.8917609,2.2617124,0,1.7770598,0.027463651
Atlanta,GA,14000US13121009403,1600000US1304000,56.19804843,9.513274336,1.47150908,22.25153914,8.856220868,2.115453568,21.5,8.425959587,24.35817157,87.06950532,87,53.20594788,29.46220016,41655,4972,52.6347546,24.9195495,0.38214,16.6733709,0.152855994
Atlanta,GA,14000US13121009404,1600000US1304000,26.05279698,5.517527484,0,8.615948671,15.36850921,0,4.8,4.187605381,20.79879427,77.31725697,421,20.03106117,63.28440094,71993,4821,71.6656295,16.075503,0,7.1147065,0.095623315
Atlanta,GA,14000US13121009502,1600000US1304000,32.54019293,7.571801567,1.591836735,20.53231939,21.58808933,0,9.1,8.188586235,45.18367347,80.08163265,70,33.753479,53.60100174,52086,3064,80.613577,15.3394256,0.4569191,1.8276762,0.031984334
Atlanta,GA,14000US13121010114,1600000US1304000,38.46354167,4.272690162,0,18.74630396,7.633076666,5.490458654,14.6,4.887846947,62.36628849,93.1280389,168,18.50598335,65.12400055,60020,7349,78.0786502,8.1099469,2.5717785,6.5178936,0.251054565
Atlanta,GA,14000US13121011201,1600000US1304000,53,13.22611618,0.285306705,31.85929648,6.556291391,0,26.6,36.02648926,62.95767951,73.03851641,1,31.63338852,49.4598999,33686,4166,13.3461354,81.925108,0.1920307,0.9361498,0.030484878
Atlanta,GA,14000US13121011301,1600000US1304000,34.76005188,19.10942045,0,26.32850242,14.86318408,0,22,22.94775963,89.41351889,94.38369781,0,14.70602894,65.86109924,41645,4469,12.9335422,77.5565003,0,1.2307004,0.146341463
Atlanta,GA,14000US13121011303,1600000US1304000,43.06254493,13.28210757,0,27.66816144,5.330672748,0.82668187,24.3,23.34663963,58.94710826,66.60899654,0,16.8109951,61.45449829,44576,9110,5.6531284,80.8781559,0,0.7903403,0.143578485
Atlanta,GA,14000US13089020600,1600000US1304000,33.36448598,12.68911664,1.439539347,29.75352113,4.947368421,2.210526316,12.7,23.2631588,42.13051823,57.19769674,4,43.452034,34.07400131,38452,2049,37.8233285,56.7105905,0,3.0258663,0.031722792
Atlanta,GA,14000US13089020500,1600000US1304000,32.1143617,17.35849057,1.051466519,28.78338279,18.2733813,0,14.4,13.30935097,66.46375208,76.25899281,248,32.89631271,47.1515007,41758,2915,37.838765,53.2761578,0.651801,1.6466552,0.060720412
Atlanta,GA,14000US13089020801,1600000US1304000,29.71386647,11.96153846,0,8.441558442,8.847926267,0,11.3,8.755760193,80.62342039,86.94187026,183,21.650877,58.01950073,75956,2600,55.6153846,41.9230769,0,0.8076923,0.018846154
Atlanta,GA,14000US13089020900,1600000US1304000,27.47093023,13.50877193,0.325144509,23.38251986,8.774834437,0.53807947,18.4,10.38907051,79.62427746,85.87427746,280,28.31176376,51.44480133,48535,5700,40.0877193,57.6842105,0,0,0.034035088
Atlanta,GA,14000US13121008700,1600000US1304000,32.4013979,18.99633364,0,27.72277228,23.11067772,0,24,23.69575882,37.82786885,43.44262295,451,26.97567558,45.49459839,26998,4364,6.507791,92.9651696,0,0,0.005957837
Atlanta,GA,14000US13089023802,1600000US1304000,37.27272727,6.9441665,1.935081149,36.98468787,3.064275037,0,28.9,24.66367912,47.25343321,73.65792759,0,20.03687859,53.44179916,35992,4997,26.9561737,64.9989994,0.8805283,1.4808885,0.062837703
Atlanta,GA,14000US13089020100,1600000US1304000,14.60674157,3.983228512,0,3.75,4.924760602,1.641586867,1.3,6.976745129,81.29973475,89.9204244,454,13.34375,68.0164032,153177,1908,93.2389937,1.9916143,0,3.9308176,0.040356394
Atlanta,GA,14000US13089020200,1600000US1304000,33.43653251,6.893250359,0,17.62114537,4.975609756,1.951219512,9.8,3.024389982,76.26689189,93.66554054,20,16.78900146,61.80250168,102829,2089,89.9473432,5.8401149,0,1.388224,0.059358545
Atlanta,GA,14000US13089023423,1600000US1304000,18.91816921,9.018249634,0,23.35766423,5.880092237,0,21.9,18.29362106,23.79717661,57.27456065,0,25.40365219,48.76350021,62045,7507,3.4900759,93.6059678,0,0,0.025975756
Atlanta,GA,14000US13121006900,1600000US1304000,13.97276495,14.92537313,1.681195517,23.02521008,1.411960133,2.408637874,28.7,18.52159882,66.87422167,74.71980075,160,25.56175041,52.00370026,45565,3551,41.4531118,47.4232611,4.3086455,0,0.175443537
Atlanta,GA,14000US13121007001,1600000US1304000,38.50226929,17.90512175,1.494189264,44.04015056,7.418397626,0.445103858,26.4,39.98516083,80.7415606,88.76591035,434,14.68447018,67.70159912,21587,4764,1.9311503,96.8513854,0.0419815,0,0.007556675
Atlanta,GA,14000US13121007400,1600000US1304000,43.43949045,16.19834711,7.58988016,28.46401719,22.25108225,5.021645022,27.2,19.82683945,89.54727031,99.53395473,72,35.58478165,49.3030014,16113,3025,10.0165289,76.3305785,0,0,0.161322314
Atlanta,GA,14000US13121007602,1600000US1304000,37.36616702,20.50583658,0.429922614,38.13559322,15.21068859,0,22.6,24.254879,86.4144454,90.02579536,28,10.38249493,69.15119934,31108,2570,0.3501946,95.7976654,0,0,0.024124514
Atlanta,GA,14000US13121007802,1600000US1304000,35.0294365,10.73497104,0,21.57772622,6.062443165,0,21.1,27.61442947,32.62533959,67.1523833,366,10.0943346,70.63800049,48877,10014,0.3594967,97.6832435,0.0898742,0,0.010685041
Atlanta,GA,14000US13121007806,1600000US1304000,51.53473344,21.32241432,0,36.03896104,15.21929825,0.789473684,22.4,37.98244858,45.25071341,79.61679576,728,15.17210674,67.07969666,28333,6594,3.1240522,96.8759478,0,0,0.04018805
Atlanta,GA,14000US13121007805,1600000US1304000,51.88216039,14.34478372,0,38.8038943,20.58570198,0.689061154,21.5,24.97846985,67.40792217,81.72341904,35,36.01698685,47.50920105,31797,3144,2.0992366,96.5330789,0.1908397,0.1272265,0.006679389
Atlanta,GA,14000US13121002400,1600000US1304000,59.5264938,20.76677316,0,40.562249,16.38225256,0,22.6,24.23208046,86.83127572,90.60356653,154,32.26666641,50.56809998,31271,2504,1.1182109,96.4057508,0.4792332,1.2380192,0.001996805
Atlanta,GA,14000US13121008000,1600000US1304000,23.80009896,20.63814091,1.795639162,36.14627286,14.31670282,0,22.4,26.4642086,91.57759726,95.51090209,105,11.09581757,69.97290039,39531,5422,3.9284397,94.8727407,0,0,0.011250461
Atlanta,GA,14000US13121007900,1600000US1304000,25.15572592,20.84123427,0,13.17689531,13.14531549,0,16.5,27.1032505,62.81094527,75.91210614,209,14.40804577,67.84359741,52181,5801,1.3618342,94.8457163,0,2.3789002,0
Atlanta,GA,14000US13121008201,1600000US1304000,49.48012232,22.55375896,0,29,21.11241676,1.018409714,15.1,28.94634056,69.69796454,81.84504268,130,19.56756783,61.57889938,26705,5999,3.1505251,95.315886,0,0,0.014669112
Atlanta,GA,14000US13121008102,1600000US1304000,33.90532544,19.0015645,1.798674661,33.13120176,12.76508972,6.280587276,30.4,32.70798874,59.16692963,70.96875986,203,19.00621796,55.30089951,21192,7031,6.6704594,88.9631631,0,0,0.114635187
